Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	-0.272214	-0.0460345	-0.871058	-0.0778896	0.00964607	-0.505988	-0.0374338	0.00238069	-0.536431	0.0249843	0.0158954	-0.305023	0.033869	0.0386938	0.0374941	0.00828679	0.0315993	0.0263154	0.135826	0.625203	-0.0261738	0.147472	0.73977	-0.102406
1	-0.284656	-0.0405203	-0.998229	-0.0270614	0.0124436	-0.443651	-0.0414469	0.0150321	-0.531008	0.0114186	0.0219246	-0.194015	0.0436307	0.0612031	0.0473321	-0.00964571	0.0159421	-0.0140454	0.23215	1.63143	-0.13327	0.154654	1.95389	-0.193212
2	-0.225154	-0.0182545	-1.05468	-0.00332214	0.0179136	-0.26188	-0.0341883	0.0384224	-0.484361	-0.0184979	0.0265271	-0.0554968	0.0515441	0.0918859	0.0636879	-0.0269475	-0.00192679	-0.0561329	0.273724	2.93326	-0.298867	-0.00697929	2.91899	-0.270064
3	-0.112634	0.01448	-0.932045	0.00544821	0.0177093	-0.103245	-0.0188638	0.0614045	-0.373759	-0.0328375	0.0206807	0.0554754	0.0521824	0.115489	0.0742438	-0.0370557	-0.0269611	-0.0979925	0.151048	4.08213	-0.441778	-0.318831	3.54114	-0.251907
4	-0.00271759	0.0339955	-0.743775	0.042715	0.0136493	-0.053245	0.0152721	0.0684103	-0.257628	-0.00545357	0.0107532	0.124232	0.0543193	0.12132	0.0733517	-0.03936	-0.0503614	-0.132145	-0.158729	4.91877	-0.442547	-0.649859	3.98785	-0.131358
5	0.073759	0.0388621	-0.636353	0.121485	0.0040825	-0.0997807	0.0759766	0.0676431	-0.188469	0.0583825	0.00122071	0.181846	0.0618379	0.123957	0.0733376	-0.0364686	-0.0697636	-0.159878	-0.549583	5.57039	-0.297054	-0.888288	4.49646	0.0597318
6	0.141691	0.034599	-0.664952	0.234242	-0.0143425	-0.187227	0.170692	0.0687931	-0.16541	0.14165	-0.00716	0.273855	0.0741879	0.135396	0.0842648	-0.0323436	-0.0876064	-0.186563	-0.881621	6.20994	-0.0600434	-1.05735	5.2462	0.291761
7	0.218434	0.02257	-0.810352	0.377078	-0.0400539	-0.271768	0.290606	0.0733686	-0.159983	0.233142	-0.0130582	0.409729	0.0903093	0.156434	0.1079	-0.0289093	-0.0997214	-0.205913	-1.09187	6.92664	0.216859	-1.24319	6.21222	0.538151
8	0.327494	0.00569414	-0.981468	0.521406	-0.0702496	-0.345259	0.418252	0.0782903	-0.13904	0.315979	-0.0191504	0.548943	0.109036	0.180331	0.140571	-0.0234171	-0.10217	-0.205413	-1.20138	7.61877	0.494405	-1.45043	7.22032	0.761309
9	0.463491	-0.00925276	-1.08652	0.648222	-0.0965882	-0.367791	0.526258	0.0820172	-0.0954441	0.374367	-0.0254154	0.670173	0.127171	0.200215	0.178313	-0.0167971	-0.0973764	-0.185651	-1.24076	8.17549	0.725572	-1.62211	8.13076	0.908616
10	0.601462	-0.0115952	-1.0761	0.765225	-0.111631	-0.309763	0.598084	0.0893131	-0.0371166	0.406976	-0.0279457	0.779915	0.137502	0.215467	0.216868	-0.0133911	-0.0900371	-0.158843	-1.23803	8.60899	0.859771	-1.72512	8.88109	0.950789
11	0.710511	0.000838966	-0.974826	0.862648	-0.116203	-0.209248	0.632611	0.102007	0.0218586	0.41619	-0.0263318	0.873415	0.135855	0.227658	0.252047	-0.0145532	-0.0829921	-0.134394	-1.21973	8.95549	0.879515	-1.75307	9.43205	0.905331
12	0.7647	0.0198072	-0.864352	0.9164	-0.115367	-0.116698	0.632966	0.115678	0.0613941	0.403623	-0.0245982	0.939195	0.125111	0.237861	0.283092	-0.0186004	-0.0778814	-0.114289	-1.18959	9.2348	0.811202	-1.70951	9.76416	0.814769
13	0.769364	0.0366183	-0.798466	0.921463	-0.11201	-0.0491825	0.607667	0.125132	0.0745697	0.377567	-0.0251389	0.972921	0.111096	0.245197	0.31044	-0.0230011	-0.0741411	-0.0969293	-1.1401	9.44849	0.701066	-1.6083	9.87619	0.716245
14	0.753574	0.0493069	-0.775182	0.89186	-0.106842	-0.002925	0.570022	0.12982	0.0690524	0.350189	-0.0273586	0.975797	0.0978479	0.249266	0.33476	-0.0261321	-0.0701679	-0.0810975	-1.06717	9.57575	0.587455	-1.46976	9.7838	0.635123
15	0.751918	0.0601724	-0.762638	0.846023	-0.101582	0.0310264	0.536454	0.132555	0.0561028	0.329415	-0.030395	0.953307	0.0874355	0.251126	0.356556	-0.0272561	-0.0656814	-0.0668186	-0.9729	9.59184	0.497689	-1.31253	9.51695	0.586124
16	0.780221	0.0701883	-0.734222	0.801428	-0.0976039	0.0620293	0.518532	0.135229	0.0437438	0.317602	-0.0330889	0.914355	0.0812317	0.25193	0.375364	-0.0263218	-0.0607968	-0.0544604	-0.866573	9.48775	0.451237	-1.15253	9.11445	0.569899
17	0.820473	0.0771693	-0.690707	0.769191	-0.0948786	0.0915704	0.51551	0.137409	0.0323117	0.313531	-0.0341125	0.867213	0.0800183	0.252546	0.390655	-0.0240557	-0.0553289	-0.0435743	-0.758758	9.27805	0.455684	-1.00175	8.62485	0.576826
18	0.841831	0.079621	-0.643079	0.751386	-0.0922175	0.122683	0.517969	0.138147	0.0189793	0.314254	-0.0327071	0.819309	0.0832845	0.253648	0.402908	-0.0215579	-0.0492075	-0.0332971	-0.65512	8.9978	0.50091	-0.866875	8.10427	0.59564
19	0.832213	0.0797679	-0.594322	0.741434	-0.0885889	0.161774	0.516937	0.13805	0.00327	0.31542	-0.0289729	0.776114	0.0886697	0.255982	0.41384	-0.0196264	-0.04232	-0.0225979	-0.555458	8.69423	0.561194	-0.750438	7.60518	0.617135
20	0.798699	0.0808376	-0.545872	0.725754	-0.0831875	0.205748	0.507506	0.138536	-0.0140114	0.311745	-0.0237368	0.737449	0.0935152	0.260314	0.426018	-0.0187982	-0.0342593	-0.0102664	-0.458374	8.41528	0.607944	-0.652051	7.16397	0.63274
21	0.753943	0.0848828	-0.499818	0.693419	-0.0750454	0.246895	0.488731	0.140203	-0.0320162	0.299547	-0.0178646	0.700706	0.0963162	0.266821	0.441845	-0.0195504	-0.02462	0.00447893	-0.365699	8.19752	0.622864	-0.570027	6.79784	0.63429
22	0.709618	0.0925231	-0.457518	0.644019	-0.0640746	0.283103	0.462887	0.143051	-0.0493524	0.278436	-0.0120557	0.665331	0.0966941	0.275367	0.462964	-0.0220086	-0.0137446	0.0215454	-0.281733	8.05832	0.603838	-0.501858	6.51007	0.616708
23	0.674812	0.103018	-0.418114	0.586544	-0.0514661	0.313355	0.434481	0.147169	-0.0646966	0.251379	-0.00707179	0.631711	0.0955517	0.286183	0.490443	-0.0257675	-0.00259964	0.0405946	-0.210916	7.99295	0.562538	-0.444043	6.29767	0.580916
24	0.654903	0.113875	-0.383552	0.533827	-0.038755	0.334645	0.40851	0.152283	-0.077129	0.22332	-0.00307357	0.599833	0.0945328	0.299285	0.52439	-0.0298964	0.008415	0.0616082	-0.155858	7.98083	0.516629	-0.393281	6.15436	0.533843
25	0.648797	0.122965	-0.355427	0.496054	-0.0275339	0.346288	0.387738	0.157716	-0.0854748	0.198745	0.000281429	0.570372	0.0947514	0.314136	0.563613	-0.0333746	0.019445	0.0848782	-0.117457	7.99742	0.481334	-0.347774	6.07218	0.48581
26	0.65064	0.12987	-0.332004	0.474757	-0.0182339	0.353662	0.372074	0.162993	-0.0888869	0.179131	0.00359179	0.545097	0.0967141	0.3304	0.606535	-0.0358132	0.0308493	0.110727	-0.094461	8.02307	0.464465	-0.307552	6.04221	0.445762
27	0.65284	0.134917	-0.314497	0.463707	-0.0103889	0.363779	0.359333	0.16787	-0.0896007	0.164032	0.00732607	0.524751	0.100712	0.348275	0.652497	-0.0368104	0.0433171	0.139764	-0.0823466	8.04741	0.465562	-0.273405	6.05406	0.41872
28	0.6495	0.139087	-0.301496	0.454311	-0.00346321	0.38049	0.346527	0.172445	-0.0908217	0.152471	0.0113704	0.508401	0.106636	0.368126	0.701617	-0.0361618	0.0572136	0.172416	-0.0751183	8.06804	0.477942	-0.245854	6.09854	0.405575
29	0.639247	0.143262	-0.289609	0.441544	0.00327893	0.402828	0.33143	0.176745	-0.0951424	0.143348	0.0155375	0.49413	0.114172	0.38976	0.753977	-0.0343486	0.0725921	0.208398	-0.0677883	8.08641	0.492978	-0.22448	6.16951	0.403387
30	0.625583	0.147889	-0.276482	0.425703	0.0101221	0.427521	0.313653	0.180778	-0.103574	0.136084	0.0198146	0.480304	0.122917	0.412607	0.809673	-0.0316618	0.0893796	0.247027	-0.0578124	8.10549	0.503768	-0.207207	6.2634	0.407338
31	0.613821	0.153448	-0.256688	0.410985	0.0167711	0.450481	0.294469	0.184703	-0.114877	0.130656	0.0241196	0.465758	0.132724	0.436159	0.868866	-0.0281282	0.107462	0.288147	-0.0458679	8.12785	0.508061	-0.190849	6.37968	0.413059
32	0.606465	0.160092	-0.228673	0.402674	0.0228032	0.472747	0.275299	0.188622	-0.127787	0.12719	0.0283189	0.451563	0.143732	0.460182	0.931887	-0.0237746	0.12654	0.331562	-0.0343966	8.15621	0.507526	-0.173111	6.51926	0.418234
