Time	Fx1	Fy1	Fz1	COPx1	COPy1	COPz1	Ty1	Fx2	Fy2	Fz2	COPx2	COPy2	COPz2	Ty2
1	108.34	477.6	41.28	2015.34	0	1149.45	1359.66	-37.92	281.52	19.45	2521.34	0	1286.02	5674.54
2	108.57	459.9	43.33	2019.1	0	1153.66	-1357.13	-65.46	277.86	-2.67	2497.09	0	1286.95	3238.89
3	110.63	429.99	38.45	2015.95	0	1151.56	-3673.76	-60.35	294.34	-2.21	2505.44	0	1297.62	3418.08
4	100.1	419.46	35.63	1990.59	0	1152.76	39.24	-73.7	328.37	-5.26	2516.27	0	1287.8	-520.82
5	115.59	393.68	33.87	2020.85	0	1153.4	-270.71	-70.88	355.99	-26.7	2512.71	0	1289.12	1824.51
6	104.37	361.94	32.35	2004.42	0	1152.41	-2052.04	-70.27	392.76	-40.66	2503.19	0	1304.08	-1429.89
7	101.55	348.05	31.51	1989.19	0	1158.56	-1692.49	-82.93	408.94	-32.96	2496.11	0	1300.49	1703.69
8	104.52	319.52	25.71	2002.71	0	1155.51	1901	-82.86	419.92	-45.24	2511.45	0	1298.29	-5793.47
9	97.89	298.31	26.55	1999.91	0	1150.76	-2027.71	-97.43	420.84	-54.32	2510.21	0	1296.14	-6105.18
10	91.78	265.2	24.26	1984.23	0	1171.35	-1334.43	-102.39	430.3	-38.07	2497.91	0	1295.85	2101.52
11	88.12	247.34	14.72	1982.29	0	1157.48	1347.27	-96.74	436.71	-33.65	2509.97	0	1303.63	418.52
12	89.04	224.15	20.83	2016.84	0	1155.79	-1263.23	-102.46	447.69	-51.27	2493.83	0	1298.67	-0.06
13	67.29	183.11	16.78	1922.51	0	1189.66	-1127.82	-104.45	459.14	-50.13	2511.66	0	1291.06	-6753.06
14	80.18	178.53	9	2006.51	0	1156.47	-1017.78	-107.88	472.72	-38.83	2493.87	0	1302.85	-2281.65
15	67.37	136.11	11.52	2003.51	0	1173.03	1495.54	-108.95	486.91	-56.53	2488.64	0	1300.66	1063.93
16	54.17	116.73	11.44	1876.09	0	1190.73	-2199.16	-113.14	488.89	-58.36	2502.71	0	1293.99	-7301.64
17	61.72	103	5.95	2050.88	0	1172.71	-901.53	-112.99	516.97	-50.28	2477.6	0	1306.78	-2630.96
18	44.94	68.66	5.26	2012.59	0	1211.52	1713.1	-112.53	514.98	-66.68	2484.48	0	1299.65	-1095.67
19	38.07	55.39	2.44	1845.54	0	1195.79	-3867.77	-111.08	524.75	-71.03	2487.12	0	1299.21	-8308.53
20	-0	-0	-0	2149	0	976.7	-0	-112	540.62	-59.97	2465.2	0	1307.45	-1905.32
21	-0	-0	-0	2149	0	976.7	-0	-109.1	543.82	-70.65	2472.48	0	1303.83	-1762.38
22	-0	-0	-0	2149	0	976.7	-0	-108.49	544.28	-75.38	2468.33	0	1300.12	-7819.87
