Time	RPelvisAngleX	RPelvisAngleY	RPelvisAngleZ	LPelvisAngleX	LPelvisAngleY	LPelvisAngleZ	RHipAngleX	RHipAngleY	RHipAngleZ	LHipAngleX	LHipAngleY	LHipAngleZ	RKneeAngleX	RKneeAngleY	RKneeAngleZ	LKneeAngleX	LKneeAngleY	LKneeAngleZ	RAnkleAngleX	RAnkleAngleY	RAnkleAngleZ	LAnkleAngleX	LAnkleAngleY	LAnkleAngleZ	RFootAngleX	RFootAngleY	RFootAngleZ	LFootAngleX	LFootAngleY	LFootAngleZ
0	0.807809	4.53533	13.5273	0.0305548	10.0183	12.173	-4.03963	-11.0665	35.445	-5.70794	-11.1499	33.3358	0.597535	-10.6188	6.12985	-0.697887	-9.69211	0.0368716	11.797	8.96089	1.60426	6.02617	6.7521	0.551585	10.0282	9.01908	21.2546	4.88581	5.76011	23.352
1	1.2872	4.52231	13.506	0.39901	10.0051	12.1344	-3.42914	-10.4049	35.2491	-5.26972	-10.7704	33.4015	0.605332	-11.4764	7.56671	-0.745726	-9.36485	1.67767	11.4999	8.97218	0.639714	6.33843	6.35013	0.39052	10.3062	8.98122	18.5843	5.39581	5.27874	21.567
2	1.79377	4.43061	13.4902	0.813167	9.88923	12.0848	-2.74188	-9.64777	34.9142	-4.68385	-10.3498	33.39	0.614235	-12.2256	8.70259	-0.778599	-9.20458	3.39617	11.1557	8.9589	-0.961489	6.66268	5.77541	-0.422593	10.6529	8.78742	15.396	6.05513	5.14699	18.9855
3	2.31417	4.26206	13.4985	1.26983	9.68941	12.0303	-2.01209	-8.82888	34.4831	-3.97645	-9.87292	33.2258	0.614003	-12.8277	9.49437	-0.791715	-9.38017	4.83837	10.7211	8.85565	-2.87563	6.98371	5.20071	-1.99553	10.8958	8.4973	12.0572	6.82193	5.32052	15.7965
4	2.84175	4.0177	13.5332	1.76738	9.42296	11.9769	-1.26538	-8.02031	34.0333	-3.18888	-9.3187	32.8724	0.630529	-13.1153	10.151	-0.76665	-9.92994	5.82965	9.96161	8.5171	-4.48793	7.13118	4.73467	-4.07384	10.6652	8.16357	8.95402	7.47737	5.68792	12.371
5	3.37622	3.69713	13.5758	2.30531	9.10416	11.9251	-0.510686	-7.31592	33.6534	-2.36563	-8.68578	32.3541	0.714559	-12.8317	10.9939	-0.658449	-10.6296	6.49042	8.69457	7.75194	-5.26998	6.75397	4.33102	-6.0893	9.71174	7.83028	6.33675	7.60928	6.05764	9.09151
6	3.92281	3.30111	13.5966	2.88314	8.74227	11.8662	0.262815	-6.8059	33.4025	-1.52897	-8.01428	31.758	0.872609	-11.8089	12.2166	-0.42928	-11.059	7.13426	7.08234	6.45236	-5.07915	5.60532	3.78746	-7.4655	8.2105	7.55304	4.33409	6.88461	6.25681	6.21661
7	4.48668	2.83871	13.5721	3.49875	8.34177	11.788	1.07706	-6.54387	33.2704	-0.66558	-7.38559	31.2023	1.04403	-10.1243	13.7785	-0.104096	-10.8473	8.02489	5.47043	4.72548	-4.14303	3.87546	2.88973	-7.91139	6.58904	7.361	2.94636	5.40729	6.24058	3.92797
8	5.06628	2.33207	13.4952	4.14717	7.9093	11.6824	1.94869	-6.51312	33.1667	0.258489	-6.8932	30.7739	1.15169	-8.14097	15.4587	0.228132	-9.87336	9.24742	4.10124	2.90167	-2.82867	2.06338	1.56257	-7.49243	5.1909	7.24497	2.06105	3.66286	6.07845	2.31597
9	5.64919	1.81379	13.3765	4.8187	7.46167	11.5476	2.86931	-6.60772	32.9473	1.26688	-6.59571	30.4729	1.17182	-6.43761	16.9537	0.46891	-8.33556	10.7087	3.05509	1.44404	-1.45372	0.568423	-0.0662913	-6.48585	4.15683	7.18636	1.53018	2.12715	5.87988	1.32281
10	6.21338	1.32105	13.237	5.49601	7.02663	11.385	3.79877	-6.66382	32.4698	2.34408	-6.47981	30.2034	1.15522	-5.55371	17.9875	0.5722	-6.72716	12.1733	2.31265	0.743069	-0.218714	-0.493251	-1.63391	-5.21207	3.46646	7.16502	1.22363	1.02357	5.72339	0.785958
11	6.73227	0.891341	13.0997	6.15198	6.63792	11.2017	4.67869	-6.53336	31.6502	3.42491	-6.46455	29.8158	1.18153	-5.68341	18.4118	0.576865	-5.63449	13.3508	1.81478	0.875001	0.79766	-1.19099	-2.66557	-3.92867	3.02613	7.16144	1.0466	0.350114	5.62377	0.531103
12	7.17925	0.558012	12.9816	6.75127	6.32997	11.011	5.45429	-6.14422	30.4928	4.41418	-6.44447	29.1752	1.29429	-6.63783	18.2393	0.580441	-5.39722	14.0237	1.49995	1.59076	1.60609	-1.64074	-2.89091	-2.78283	2.74577	7.16712	0.940383	-0.00400645	5.56026	0.426341
