Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-316.897	884.609	-88.591	-340.621	896.391	-354.323	-489.767	920.91	-165.945	-499.975	922.246	-249.73	-415.007	953.925	-381.955	-396.913	939.855	-53.1421	-375.469	762.644	-47.1924	-188.303	448.182	-98.8251	-175.447	395.597	-98.1459	-114.913	415.929	-133.004	-54.1209	64.8233	-108.046	-87.2739	28.2758	-161.319	95.799	100.273	-143.054	61.9187	70.3021	-79.8961	-449.936	800.143	-386.797	-560.782	441.759	-327.493	-594.14	392.801	-327.114	-543.806	361.4	-283.983	-773.419	94.6593	-301.872	-830.568	87.7364	-249.22	-632.611	31.1193	-260.314	-672.47	21.2617	-323.257
0.007	-304.525	883.528	-87.6788	-328.408	895.001	-353.813	-477.68	919.323	-165.451	-487.631	920.537	-249.091	-403.384	952.837	-381.375	-385.14	938.128	-52.401	-362.393	761.824	-46.2703	-174.564	447.415	-98.102	-162.325	394.642	-97.7692	-101.949	413.954	-132.744	-48.8006	62.1162	-108.804	-84.5442	29.0139	-161.576	102.071	92.1291	-145.926	67.4113	62.9235	-83.2467	-438.017	798.562	-386.481	-550.912	441.231	-328.688	-585.115	392.684	-328.46	-535.322	360.329	-285.457	-770.571	98.4484	-302.813	-828.039	93.7401	-250.081	-632.276	31.4755	-260.413	-671.982	21.6371	-323.418
0.013	-292.318	883.068	-87.3121	-315.864	893.732	-353.224	-466.031	918.622	-165.347	-475.601	919.149	-248.584	-391.359	951.553	-380.866	-373.285	936.369	-51.6013	-349.246	761.44	-45.3995	-161.452	446.549	-97.2894	-150.697	394.415	-96.9118	-89.0292	413.008	-131.899	-42.6596	62.6092	-109.399	-81.3114	31.311	-161.672	110.175	81.5697	-147.797	73.0032	53.8922	-84.1659	-425.36	796.58	-385.586	-540.565	440.679	-329.803	-575.476	392.67	-329.649	-526.517	359.355	-286.886	-767.578	103.073	-303.472	-825.124	99.4998	-251.683	-632.059	31.4617	-260.464	-671.019	22.5467	-323.139
0.02	-280.471	883.779	-87.2267	NaN	NaN	NaN	-454.404	919.204	-165.647	-463.449	918.152	-248.479	-378.296	949.687	-380.513	-361.119	935.128	-50.5293	-336.179	762.012	-44.369	-148.877	447.152	-95.8367	-138.163	396.023	-95.8631	-75.5891	415.496	-131.254	-37.7314	63.3238	-109.86	-78.9819	32.7183	-161.576	114.768	74.4312	-149.311	76.3131	50.1182	-84.625	-412.987	795.33	-384.868	-529.683	440.246	-330.736	-565.36	392.669	-330.706	-517.507	358.21	-287.965	-763.826	106.762	-305.152	-821.691	107.017	-253.277	-631.883	31.0267	-260.139	-670.234	23.2095	-323.167
0.027	-269.086	885.143	-86.9533	NaN	NaN	NaN	-442.952	919.823	-165.892	-451.345	917.449	-248.934	-365.667	948.437	-380.538	-349.216	934.518	-49.2885	-323.195	763.522	-43.6301	-135.702	450.095	-93.4781	-124.038	399.191	-94.3777	-61.6738	418.393	-130.721	-35.3403	62.9018	-110.043	-77.7927	33.8391	-161.272	117.506	70.683	-150.287	78.4928	47.8048	-85.569	-400.513	793.918	-384.362	-517.879	439.82	-331.723	-554.24	392.601	-331.83	-506.715	357.553	-289.185	-759.8	113.044	-306.233	-816.659	112.86	-255.157	-631.589	31.0415	-260.049	-669.348	24.0636	-323.218
0.033	-257.687	886.695	-86.4258	NaN	NaN	NaN	-431.382	920.905	-166.096	-439.361	917.198	-249.675	-352.163	946.845	-380.335	-337.737	935.261	-47.7128	-310.489	765.722	-42.6699	-121.075	454.37	-91.7208	-109.408	402.941	-92.9116	-47.7962	420.329	-130.513	-33.8819	62.7279	-110.173	-77.1454	34.4104	-161.227	119.321	67.1563	-150.754	79.9341	44.9288	-86.1495	-387.349	792.31	-383.843	-505.314	439.354	-332.99	-543.104	393.545	-333.07	-494.897	356.871	-290.42	-754.631	117.201	-307.353	-811.881	121.362	-255.311	-631.159	31.0375	-259.812	-668.184	25.1324	-322.986
0.04	-246.833	888.391	-85.2852	NaN	NaN	NaN	-419.711	921.783	-166.471	-427.224	916.899	-250.514	-338.653	945.775	-380.2	-326.618	936.917	-46.4196	-298.265	768.373	-41.9487	-105.355	458.497	-89.3676	-94.6309	406.088	-90.9037	-34.7142	421.558	-130.229	-33.0335	63.0842	-109.922	-76.4936	35.3514	-160.951	120.595	62.983	-151.178	80.9508	41.7035	-86.4106	-374.386	790.912	-383.323	-491.742	438.639	-334.334	NaN	NaN	NaN	-481.878	356.027	-291.857	-749.279	122.985	-308.277	-804.814	128.883	-255.688	-630.554	31.0548	-259.541	-666.998	26.2013	-322.695
0.047	-235.591	890.247	-84.177	NaN	NaN	NaN	-407.785	922.571	-166.546	-414.984	916.549	-251.247	-324.744	945.58	-379.725	-317.828	939.531	-45.1396	-285.642	770.416	-41.1778	-90.0233	461.899	-87.2675	-80.9661	408.568	-89.4479	-22.7462	422.096	-130.006	-31.4058	63.4616	-109.064	-75.3909	36.3806	-159.821	122.15	58.0725	-151.219	82.388	37.994	-86.467	-361.573	789.638	-382.971	-477.148	437.702	-336.016	NaN	NaN	NaN	-468.293	355.107	-293.69	-741.218	129.212	-306.678	-796.894	137.742	-254.862	-629.763	31.161	-259.238	-665.54	27.5185	-322.215
0.053	-223.865	892.14	-82.9863	NaN	NaN	NaN	-396.024	922.659	-167.06	-402.963	916.6	-252.068	-311.009	946.763	-378.906	-307.512	941.963	-44.3986	-274.564	773.286	-39.8018	-75.4095	463.594	-85.7144	-69.1797	409.773	-87.922	-11.8441	421.857	-128.916	-28.7646	62.685	-107.998	-73.8689	37.2481	-159.019	124.316	53.6259	-150.296	84.0744	33.8468	-85.8804	-348.919	788.943	-382.602	-461.701	436.641	-338.122	NaN	NaN	NaN	-453.415	353.992	-295.865	-734.669	135.872	-308.245	-788.032	148.129	-253.834	-628.543	31.3368	-259.001	-663.821	28.8861	-321.59
0.06	-212.026	893.889	-81.6512	NaN	NaN	NaN	-384.286	922.588	-167.275	-390.692	916.744	-252.585	-296.936	949.419	-377.701	-296.976	943.696	-44.5678	-262.823	775.45	-38.8569	-63.5135	464.527	-83.7631	-59.1088	410.078	-86.1734	-1.4997	421.052	-127.043	-26.109	61.7091	-107.206	-72.4052	38.1485	-158.218	126.417	49.2701	-148.751	85.3067	29.6937	-82.6836	-336.258	788.5	-381.902	-445.25	435.558	-340.236	-483.882	393.286	-338.507	-437.574	352.888	-298.574	-725.5	142.237	-308.935	-776.895	156.609	-253.461	-627.366	31.6437	-258.155	-661.757	30.294	-320.725
