Time	RPelvisAngleX	RPelvisAngleY	RPelvisAngleZ	LPelvisAngleX	LPelvisAngleY	LPelvisAngleZ	RHipAngleX	RHipAngleY	RHipAngleZ	LHipAngleX	LHipAngleY	LHipAngleZ	RKneeAngleX	RKneeAngleY	RKneeAngleZ	LKneeAngleX	LKneeAngleY	LKneeAngleZ	RAnkleAngleX	RAnkleAngleY	RAnkleAngleZ	LAnkleAngleX	LAnkleAngleY	LAnkleAngleZ	RFootAngleX	RFootAngleY	RFootAngleZ	LFootAngleX	LFootAngleY	LFootAngleZ
0	-2.57664	7.343	19.0302	2.33279	10.8331	18.7648	-8.63548	-4.77572	46.0061	-5.18481	-7.07796	44.9008	7.67428	-7.84796	8.20341	4.81606	-6.23508	5.59669	-0.0143733	-3.42213	5.90767	-0.386261	-3.10281	8.70793	5.3202	13.6352	25.3105	4.4002	7.80073	29.1599
1	-2.48085	7.71933	18.8381	2.47063	11.0323	18.621	-8.78377	-4.86183	45.7543	-5.00529	-6.96596	44.6011	7.86011	-8.11719	8.67728	4.87316	-6.2322	6.11672	-0.08685	-3.51796	5.61162	-0.485139	-3.01826	8.1801	5.50785	13.7227	24.478	4.56202	7.28863	27.8872
2	-2.38204	8.04107	18.6704	2.60211	11.1831	18.5208	-8.88824	-4.75281	45.4809	-4.81919	-6.6951	44.3348	8.12076	-8.42787	9.51974	4.96905	-6.31317	6.95966	-0.235477	-3.63481	4.95707	-0.717266	-2.8805	7.0755	5.74076	13.6825	22.8368	4.60473	6.62619	25.6836
3	-2.25425	8.28889	18.534	2.75841	11.2758	18.4649	-8.9408	-4.4294	45.2076	-4.6227	-6.29171	44.1297	8.48954	-8.83117	10.6511	5.12961	-6.51222	8.07336	-0.469613	-3.75422	3.81626	-1.1352	-2.76691	5.25107	6.01363	13.5057	20.3443	4.45918	5.92328	22.4831
4	-2.06413	8.4366	18.4309	2.96941	11.29	18.4474	-8.932	-3.89683	44.9847	-4.40923	-5.78998	44.0363	8.99902	-9.36036	12.0322	5.38721	-6.82506	9.46656	-0.821347	-3.8255	2.23585	-1.72992	-2.75238	2.84281	6.26048	13.1808	17.1209	4.1091	5.29941	18.4744
5	-1.781	8.45536	18.3556	3.2528	11.2012	18.455	-8.84619	-3.19541	44.8763	-4.17196	-5.23114	44.1102	9.66233	-9.95657	13.6812	5.77954	-7.16814	11.2162	-1.34871	-3.81583	0.562927	-2.3786	-2.91263	0.371098	6.34018	12.7087	13.5543	3.66093	4.86105	14.1805
6	-1.38821	8.32327	18.2944	3.60625	10.9927	18.4671	-8.66335	-2.40344	44.9276	-3.91039	-4.66138	44.3793	10.4755	-10.4392	15.6486	6.34735	-7.40956	13.4069	-2.10131	-3.78329	-0.66161	-2.89188	-3.28928	-1.47356	6.11047	12.1457	10.2002	3.31685	4.66752	10.2664
7	-0.888983	8.03613	18.2312	4.01213	10.6653	18.4572	-8.36379	-1.61707	45.129	-3.62733	-4.12935	44.8119	11.4173	-10.6151	17.9373	7.10895	-7.48564	16.0214	-3.06854	-3.83932	-1.0568	-3.18526	-3.78374	-2.2233	5.54385	11.5902	7.47473	3.20472	4.67997	7.21404
8	-0.301813	7.61348	18.1537	4.44773	10.2396	18.4004	-7.93022	-0.922353	45.4007	-3.32195	-3.67802	45.3063	12.4249	-10.432	20.4254	8.03276	-7.46714	18.8898	-4.18932	-4.0163	-0.612513	-3.35793	-4.16456	-1.83431	4.72689	11.1095	5.48324	3.27332	4.7918	5.15594
9	0.34791	7.09712	18.0561	4.88895	9.75233	18.2814	-7.35519	-0.379933	45.6118	-2.99579	-3.33005	45.7073	13.3995	-10.0166	22.883	9.04688	-7.50714	21.7364	-5.37349	-4.23591	0.431963	-3.53625	-4.24224	-0.594983	3.79449	10.733	4.11927	3.40842	4.94568	3.93749
10	1.03287	6.5423	17.9408	5.31151	9.24853	18.1021	-6.65302	-0.0225867	45.6328	-2.66239	-3.08144	45.8526	14.2516	-9.57852	25.0773	10.0754	-7.74994	24.267	-6.50763	-4.38932	1.8075	-3.74102	-3.96508	1.09842	2.88507	10.4877	3.21903	3.55357	5.1618	3.29187
11	1.72495	6.00497	17.8205	5.69849	8.77083	17.8838	-5.8635	0.132247	45.3922	-2.34229	-2.92616	45.6351	14.9253	-9.26504	26.8675	11.0579	-8.26446	26.2613	-7.48844	-4.40794	3.31581	-3.94035	-3.35427	2.90926	2.09946	10.3854	2.63216	3.6847	5.45207	2.9735
12	2.39455	5.53088	17.7157	6.04519	8.35046	17.6615	-5.04336	0.06694	44.8971	-2.04933	-2.89311	45.0457	15.3902	-9.09374	28.2262	11.9371	-8.99908	27.6429	-8.25148	-4.27539	4.82907	-4.11003	-2.46384	4.62638	1.48589	10.3995	2.2429	3.78084	5.78201	2.80918
13	3.0111	5.14896	17.6467	6.35372	8.00189	17.4724	-4.25079	-0.229697	44.2126	-1.78178	-3.04737	44.1686	15.6335	-8.98917	29.2127	12.644	-9.7773	28.4877	-8.77907	-4.01738	6.27513	-4.23317	-1.4098	6.15873	1.04905	10.4811	1.97462	3.83792	6.10641	2.69921
14	3.54665	4.86809	17.6267	6.62527	7.72098	17.3455	-3.53088	-0.741327	43.4245	-1.52294	-3.44847	43.1392	15.6649	-8.83856	29.9292	13.1109	-10.3631	28.9665	-9.09725	-3.70291	7.62274	-4.30446	-0.36191	7.49461	0.763993	10.5866	1.78103	3.86456	6.39436	2.59682
15	3.98228	4.67817	17.6579	6.85868	7.48819	17.2959	-2.90758	-1.41665	42.6059	-1.24943	-4.10702	42.0908	15.5161	-8.53332	30.4735	13.3002	-10.5599	29.261	-9.26045	-3.43194	8.86053	-4.33926	0.514169	8.65959	0.593183	10.6864	1.63344	3.86566	6.62913	2.485
16	4.3134	4.55571	17.7335	7.05345	7.27553	17.3244	-2.38249	-2.18321	41.7952	-0.940107	-4.97005	41.1127	15.2322	-8.01142	30.9047	13.22	-10.2865	29.4962	-9.32732	-3.29167	9.98475	-4.36168	1.11055	9.68725	0.50236	10.7651	1.51363	3.84317	6.80754	2.36106
17	4.54973	4.47063	17.8426	7.21149	7.05333	17.4189	-1.93844	-2.96808	40.9939	-0.579787	-5.9344	40.2287	14.86	-7.28766	31.2342	12.9208	-9.59814	29.7093	-9.34295	-3.30956	10.9977	-4.38549	1.40436	10.6042	0.46612	10.8182	1.41056	3.80488	6.93693	2.22956
18	4.70792	4.39216	17.973	7.33595	6.79621	17.5576	-1.5483	-3.70811	40.1767	-0.16121	-6.88314	39.4027	14.4421	-6.4504	31.4383	12.4753	-8.64521	29.8647	-9.33204	-3.44203	11.9072	-4.40765	1.45161	11.426	0.46598	10.8478	1.31793	3.76417	7.02911	2.09779
19	4.80305	4.29513	18.1111	7.42835	6.48882	17.7155	-1.18661	-4.35389	39.3072	0.312503	-7.72329	38.5685	14.013	-5.61735	31.4809	11.9548	-7.5984	29.8975	-9.30041	-3.6103	12.7223	-4.41574	1.34679	12.16	0.489183	10.8594	1.23222	3.73233	7.09717	1.97202
20	4.84407	4.16535	18.2413	7.48692	6.12888	17.871	-0.837813	-4.87666	38.3508	0.828207	-8.40208	37.6647	13.5933	-4.88104	31.335	11.4118	-6.58946	29.7548	-9.24359	-3.74733	13.4502	-4.39738	1.17718	12.8103	0.527157	10.8594	1.15091	3.71393	7.1534	1.85587
21	4.83515	4.00013	18.3501	7.50628	5.7263	18.0098	-0.495977	-5.27687	37.2858	1.36496	-8.90413	36.6561	13.1848	-4.2786	30.9947	10.8748	-5.69006	29.415	-9.15744	-3.82142	14.0957	-4.34569	0.998243	13.3819	0.5724	10.8544	1.0713	3.70757	7.20716	1.75069
22	4.78078	3.80525	18.4301	7.47894	5.29929	18.1255	-0.159027	-5.5892	36.1089	1.89808	-9.24909	35.5359	12.7696	-3.78709	30.4762	10.3484	-4.91406	28.8882	-9.04462	-3.83854	14.6631	-4.25995	0.833824	13.8818	0.616437	10.8514	0.9907	3.70826	7.2639	1.65605
23	4.6882	3.59032	18.4802	7.39865	4.86922	18.2182	0.175383	-5.87594	34.8336	2.40467	-9.48706	34.3179	12.3164	-3.33875	29.8128	9.81634	-4.23266	28.2049	-8.91472	-3.8303	15.1559	-4.14305	0.688721	14.3183	0.65024	10.8587	0.906377	3.70981	7.32482	1.56973
24	4.5651	3.36238	18.5033	7.26406	4.45638	18.2922	0.510907	-6.21008	33.4851	2.86854	-9.68418	33.0265	11.7894	-2.84376	29.0474	9.254	-3.59215	27.4037	-8.78047	-3.83762	15.5776	-4.00103	0.555076	14.6989	0.66616	10.8837	0.815097	3.70573	7.38808	1.48778
25	4.4166	3.12025	18.5054	7.07959	4.07634	18.3543	0.851823	-6.64886	32.0937	3.28158	-9.90265	31.6893	11.1629	-2.21295	28.2216	8.6413	-2.92643	26.5194	-8.65496	-3.9029	15.9309	-3.84556	0.409589	15.0291	0.66051	10.9317	0.713887	3.68929	7.45142	1.40515
26	4.24469	2.85474	18.4947	6.8519	3.73664	18.4138	1.20036	-7.21449	30.6879	3.64075	-10.1797	30.3308	10.4323	-1.37839	27.3671	7.97456	-2.17393	25.5772	-8.55103	-4.06424	16.2182	-3.69361	0.21547	15.3126	0.633863	11.0047	0.599773	3.65502	7.51512	1.31701
27	4.04884	2.55389	18.4795	6.58571	3.4346	18.48	1.55246	-7.89366	29.2881	3.94471	-10.517	28.9684	9.61664	-0.313123	26.5009	7.26974	-1.30086	24.5881	-8.48067	-4.33959	16.44	-3.56195	-0.0614156	15.5507	0.587083	11.0995	0.46623	3.60048	7.58379	1.21953
28	3.82805	2.20974	18.4696	6.28463	3.15918	18.5605	1.89545	-8.64147	27.9062	4.19365	-10.8902	27.6089	8.7583	0.94579	25.6261	6.55681	-0.313331	23.5498	-8.44842	-4.71165	16.5967	-3.46124	-0.433701	15.7418	0.521773	11.2111	0.302573	3.5268	7.66539	1.10892
29	3.58232	1.82255	18.479	5.95574	2.89725	18.6587	2.20902	-9.38889	26.5534	4.3906	-11.268	26.2482	7.91933	2.29353	24.7376	5.87196	0.749614	22.4508	-8.4435	-5.13064	16.6913	-3.39424	-0.887793	15.88	0.446713	11.3408	0.0981667	3.43826	7.76908	0.980448
30	3.3114	1.39715	18.5213	5.6103	2.63713	18.7739	2.47066	-10.0657	25.2394	4.541	-11.6225	24.8744	7.16452	3.59755	23.8317	5.25179	1.83154	21.2767	-8.44196	-5.5356	16.7281	-3.35718	-1.39119	15.9571	0.38035	11.499	-0.156657	3.34145	7.90316	0.8285
31	3.01607	0.938427	18.6017	5.26112	2.36752	18.9022	2.66301	-10.626	23.9665	4.65063	-11.9312	23.4725	6.54299	4.7482	22.9125	4.72958	2.87083	20.0157	-8.41632	-5.87756	16.7108	-3.33997	-1.90134	15.965	0.34642	11.7042	-0.47136	3.24557	8.0749	0.647009
32	2.70128	0.45084	18.7185	4.92194	2.07777	19.0375	2.77834	-11.0551	22.7337	4.72622	-12.1818	22.0287	6.08091	5.67854	21.9939	4.33097	3.80774	18.6635	-8.34315	-6.12883	16.6454	-3.32432	-2.3718	15.8963	0.366963	11.9775	-0.852857	3.16459	8.29253	0.428363
33	2.37536	-0.0632767	18.8677	4.60804	1.75959	19.176	2.81847	-11.3589	21.5426	4.77816	-12.3722	20.5374	5.78156	6.36137	21.0986	4.06967	4.58596	17.2263	-8.20699	-6.2782	16.5425	-3.28368	-2.75573	15.7446	0.45622	12.3329	-1.30368	3.11789	8.56449	0.161587
34	2.04663	-0.60539	19.043	4.33318	1.40687	19.3169	2.79151	-11.5541	20.3968	4.81902	-12.508	19.0041	5.62721	6.80575	20.2539	3.94483	5.16326	15.7228	-8.00076	-6.32155	16.4152	-3.18939	-3.01346	15.505	0.618147	12.7653	-1.82251	3.12628	8.89496	-0.167574
35	1.72355	-1.17885	19.2331	4.10608	1.01634	19.4591	2.71013	-11.6712	19.2971	4.85839	-12.604	17.4404	5.5802	7.06239	19.4868	3.9416	5.53121	14.1839	-7.7203	-6.25951	16.275	-3.01967	-3.12284	15.1772	0.85118	13.2459	-2.40432	3.20639	9.27872	-0.573438
