Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-241.745	772.441	-19.9584	-255.39	765.428	-356.437	-484.17	806.376	-136.606	-488.496	815.761	-216.459	-346.016	853.289	-356.047	-350.488	834.773	-4.84149	-334.695	675.197	24.6528	-219.085	400.141	-44.0931	-191.678	358.829	-38.1452	-143.467	368.796	-87.8157	-117.412	54.0868	-77.6319	-150.13	31.3494	-126.331	20.8974	71.3948	-122.775	-13.9868	44.8231	-58.7745	-350.147	697.137	-386.656	-442.7	406.768	-308.271	-458.061	359.024	-313.077	-414.695	336.105	-263.833	-585.088	76.5993	-281.797	-643.664	74.3063	-235.962	-467.658	39.7465	-215.6	-504.793	25.4481	-290.159
0.007	-234.206	772.189	-18.9696	-248.595	765.198	-355.482	-476.722	805.258	-134.397	-481.585	814.952	-215.055	-339.334	852.819	-355.049	-341.597	834.594	-2.35116	-325.312	674.907	26.1365	-212.314	400.065	-43.8687	-185.441	358.508	-38.1606	-136.872	368.881	-88.1014	-113.757	55.2435	-77.295	-148.167	32.8971	-126.147	26.088	65.2065	-122.559	-11.293	40.52	-59.7496	-343.305	696.788	-385.792	-436.374	406.468	-307.723	-452.371	358.942	-312.933	-409.181	335.311	-263.771	-583.887	78.4113	-282.699	-642.513	77.3102	-237.047	-467.671	39.6157	-215.062	-504.639	25.6163	-290.106
0.013	-226.832	772.235	-17.9361	-241.821	765.083	-354.406	-470.403	805.008	-134.019	-474.703	814.229	-213.62	-332.757	852.51	-353.92	-334.589	834.156	-1.00172	-317.102	674.996	27.0612	-205.733	400.585	-43.4935	-179.316	358.792	-37.7437	-130.077	369.449	-89.0309	-110.299	55.3534	-76.7396	-146.252	34.1895	-125.704	29.7069	60.8286	-122.724	-9.1259	37.8831	-59.5512	-336.196	696.403	-384.926	-429.849	406.164	-307.263	-446.32	358.885	-312.659	-403.402	334.473	-263.546	-581.496	81.2235	-283.777	-641.128	80.5656	-237.949	-467.528	39.6449	-215.164	-505.461	24.667	-289.529
0.02	-219.473	772.562	-16.9673	-235.041	765.049	-353.304	-463.828	804.765	-133.315	-467.818	813.687	-212.259	-326.048	852.231	-352.749	-327.899	834.494	0.394	-308.64	675.732	27.959	-198.992	401.645	-42.6599	-172.441	359.775	-37.0587	-123.297	369.769	-89.5914	-107.609	54.8286	-76.36	-144.516	35.2592	-125.145	32.3939	57.9336	-122.719	-6.8291	35.4192	-59.8395	-329.094	696.148	-384.069	-422.893	406.033	-306.868	-439.79	358.971	-312.448	-397.403	333.798	-263.383	-580.358	83.0571	-284.227	-639.62	84.1054	-238.668	-467.292	39.6958	-215.204	-503.786	26.0045	-290.177
0.027	-211.945	773.131	-15.9219	-228.13	765.165	-352.039	-456.397	804.979	-130.56	-460.926	813.271	-210.978	-319.344	852.053	-351.628	-320.015	834.937	2.07125	-300.334	676.927	28.787	-191.82	402.941	-41.5621	-164.601	361.557	-36.538	-116.832	370.139	-90.11	-105.597	54.5671	-75.91	-143.244	36.2559	-124.483	34.3836	55.3853	-122.975	-4.95404	32.9968	-60.2503	-321.899	695.82	-383.178	-415.625	405.887	-306.457	-433.015	358.94	-312.402	-390.937	333.146	-263.149	-579.127	85.0411	-284.511	-637.826	87.927	-239.34	-466.87	39.7922	-215.261	-503.518	26.2566	-290.063
0.033	-204.61	774.064	-14.9155	-221.121	765.33	-350.695	-449.407	805.209	-129.351	-453.911	813.026	-209.781	-312.682	851.72	-351.064	-313.141	835.894	2.72039	-292.216	678.472	29.9573	-184.167	404.375	-40.5978	-156.56	363.219	-36.1389	-110.306	370.847	-90.0993	-104.181	54.3551	-75.4614	-142.341	36.8769	-123.903	35.4957	52.242	-123.615	-4.03922	31.2555	-59.9147	-314.658	695.565	-382.28	-407.973	405.671	-306.018	-426.012	359.184	-312.246	-384.194	332.371	-262.834	-577.296	87.6768	-284.88	-635.596	92.2015	-239.833	-466.352	39.8462	-215.337	-503.227	26.564	-289.929
0.04	-197.373	775.223	-13.9255	-214.283	765.605	-349.362	-442.43	805.736	-128.256	-447.009	813.074	-208.774	-305.996	851.594	-350.05	-305.989	837.085	3.37008	-284.142	680.259	31.1356	-176.05	405.859	-39.1733	-148.717	364.513	-34.4042	-103.732	371.407	-89.8927	-103.245	54.2377	-75.2026	-141.897	37.2398	-123.44	36.1917	49.6306	-124.5	-3.27208	30.7363	-59.1779	-307.366	695.291	-381.316	-399.836	405.424	-305.573	-418.55	359.313	-312.082	-377.043	331.668	-262.747	-575.325	90.5132	-285.224	-633.073	96.7977	-240.107	-465.834	39.9152	-215.293	-502.947	27.1653	-290.248
0.047	-190.199	776.559	-13.1153	-207.32	766.022	-347.795	-435.479	806.529	-127.26	-440.031	813.292	-207.827	-299.176	851.466	-348.972	-298.907	838.494	3.8602	-276.795	682.111	32.2152	-168.191	407.168	-37.2932	-140.826	365.479	-33.4056	-97.4445	371.743	-89.3011	-102.424	54.2379	-75.0379	-141.395	37.6486	-123.138	36.6575	48.6859	-124.641	-2.75709	30.1388	-58.6947	-299.962	695.115	-380.253	-391.299	405.226	-305.204	-410.719	359.479	-312.157	-369.506	331.007	-262.837	-573.367	93.3335	-285.379	-630.047	101.754	-240.215	-465.298	40.0129	-215.992	-502.528	27.6661	-289.97
0.053	-183.196	778.095	-12.1726	-200.324	766.567	-346.237	-428.513	807.335	-126.37	-433.131	813.716	-206.911	-292.36	851.493	-348	-291.641	840.333	4.40824	-269.288	684.319	33.9061	-160.437	408.53	-36.0932	-133.379	366.275	-32.4314	-91.5499	372.005	-88.1539	-101.61	54.307	-74.8221	-140.888	37.9624	-122.851	37.0931	48.3953	-124.382	-2.05768	29.7396	-58.4174	-292.594	695.007	-379.09	-382.432	405.194	-305.07	-402.412	359.779	-312.268	-361.33	330.443	-263.138	-569.932	97.4921	-285.498	-626.58	107.141	-240.061	-464.35	40.1406	-216.273	-502.246	28.011	-289.601
0.06	-176.143	779.77	-11.2911	-193.247	767.189	-344.531	-421.599	807.937	-126.052	-426.246	814.268	-206.136	-285.538	851.547	-347.084	-284.664	842.002	4.68852	-262.188	686.141	35.2165	-152.952	409.742	-34.7625	-126.61	366.944	-31.5974	-86.0634	372.238	-86.8201	-100.897	54.3763	-74.466	-140.495	38.2331	-122.486	37.5242	46.9228	-124.129	-1.65855	29.2355	-57.3611	-285.204	695.066	-377.946	-373.126	405.158	-305.111	-393.844	360.141	-312.722	-352.833	329.877	-263.671	-566.76	101.307	-285.481	-622.535	113.101	-239.571	-463.343	40.3001	-216.652	-501.576	28.7329	-289.151
0.067	-169.417	781.662	-10.3717	-186.262	767.94	-342.854	-414.901	809.746	-124.613	-419.419	814.952	-205.362	-278.75	851.726	-346.204	-277.779	843.862	4.88728	-255.457	687.965	36.3363	-146.255	410.779	-33.4774	-120.594	367.568	-30.7426	-80.9459	372.188	-85.4102	-100.212	54.2531	-74.1105	-140.238	38.4206	-122.091	37.9552	45.8939	-124.185	-1.34742	28.9262	-57.0679	-277.696	695.212	-376.738	-363.418	405.295	-305.192	-384.813	360.776	-313.113	-343.689	329.434	-264.661	-563.054	105.432	-285.384	-617.65	119.053	-239.351	-462.946	40.1961	-216.097	-500.851	29.6615	-288.648
0.073	-162.52	783.64	-9.35296	-179.126	768.875	-341.14	-407.712	810.821	-123.075	-412.628	815.766	-204.554	-271.85	852.033	-345.212	-271.036	845.812	5.22191	-248.814	689.711	37.9654	-140.339	411.615	-32.4051	-115.801	367.878	-29.9138	-76.317	372.024	-84.0186	-99.689	54.0318	-73.7974	-140.102	38.5312	-121.799	38.4948	45.2554	-124.406	-1.12205	28.6688	-56.7556	-270.218	695.479	-375.472	-353.216	405.602	-305.561	-375.365	361.406	-313.896	-333.955	329.009	-265.882	-558.854	109.929	-285.223	-612.138	125.655	-238.679	-461.965	40.2863	-216.206	-499.882	30.5972	-288.44
0.08	-155.806	785.556	-8.15909	-172.093	769.903	-339.394	-401.002	811.481	-123.197	-405.811	816.625	-203.755	-265.012	852.391	-344.17	-264.096	847.648	5.75659	-242.664	691.572	38.865	-135.574	412.534	-30.9303	-111.933	367.923	-28.934	-72.0591	371.765	-82.8091	-99.318	53.8555	-73.5529	-140.033	38.6054	-121.497	38.6898	44.7985	-124.666	-0.99115	28.3809	-56.2213	-262.698	695.736	-374.104	-342.429	405.752	-305.798	-365.303	362.06	-314.719	-323.741	328.547	-267.352	-554	114.544	-285.313	-605.709	132.121	-238.254	-460.946	40.4336	-216.36	-498.61	31.6453	-288.117
0.087	-149.14	787.558	-7.00131	-165.674	770.76	-337.514	-394.581	813.425	-122.066	-399.095	817.548	-202.865	-258.266	852.866	-343.05	-257.792	849.509	6.33552	-236.475	693.279	39.9231	-131.803	412.667	-30.1098	-108.703	367.807	-27.7975	-67.8419	371.578	-81.1764	-99.0649	53.7711	-73.3341	-139.996	38.6668	-121.248	38.6853	44.4555	-125.466	-0.82701	28.2863	-56.4025	-255.289	696.106	-372.747	-331.254	405.858	-306.179	-354.803	362.988	-315.543	-312.933	328.141	-269.042	-548.318	119.322	-285.452	-598.523	138.988	-237.693	-459.752	40.5807	-216.302	-496.997	32.7321	-287.435
0.093	-142.55	789.551	-5.7034	-158.868	771.859	-335.21	-387.851	814.673	-121.069	-392.38	818.427	-201.855	-251.534	853.325	-341.815	-251.075	851.33	7.10486	-230.24	694.707	40.9049	-128.536	412.875	-29.4536	-105.871	367.754	-26.7034	-64.8367	371.227	-80.3668	-98.9135	53.7439	-73.1906	-140.001	38.684	-121.075	38.743	44.131	-125.755	-0.76575	28.1823	-56.2813	-247.928	696.561	-371.37	-319.498	405.859	-306.595	-343.876	363.802	-316.433	-301.904	327.95	-270.887	-541.921	124.189	-285.672	-590.382	145.654	-237.077	-458.457	40.9692	-216.176	-495.077	34.2113	-287.662
0.1	-135.949	791.514	-4.29476	-151.231	773.401	-333.367	-381.169	815.953	-119.934	-385.756	819.328	-200.716	-244.803	853.843	-340.445	-244.533	853.208	8.28716	-224.002	696.131	42.1043	-125.729	412.954	-28.5626	-103.205	367.726	-25.6788	-61.3123	371.276	-78.7027	-98.8552	53.7345	-73.09	-140.04	38.6923	-120.944	38.1373	43.9876	-125.185	-0.72848	28.0972	-56.1773	-240.656	697.026	-370.016	-307.511	405.739	-307.202	-332.252	364.505	-317.204	-290.251	327.634	-272.819	-534.777	129.044	-285.88	-581.35	152.076	-236.907	-456.737	41.3949	-216.058	-492.55	35.9044	-287.595
0.107	-129.402	793.458	-2.97527	-144.619	774.544	-331.309	-374.406	817.305	-118.388	-379.313	820.202	-199.503	-238.347	854.367	-339.028	-237.642	855.019	9.43412	-218.068	697.569	42.9201	-123.317	413.05	-27.964	-101.073	367.458	-24.7305	-58.5906	371.129	-77.8046	-98.8809	53.7062	-73.0147	-140.077	38.6752	-120.838	38.7194	44.1723	-126.24	-0.72604	28.0111	-56.0806	-233.486	697.455	-368.633	-295.126	405.411	-307.452	-320.269	365.158	-317.968	-278.008	327.294	-274.453	-526.747	133.328	-286.4	-571.658	158.453	-236.776	-454.837	41.8653	-216.246	-489.392	37.8702	-287.198
