Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	-0.129113	-0.00310333	-0.467857	-0.09257	-0.02102	-0.417868	-0.0456367	0.00233333	-0.25185	-0.0065925	0.0009825	-0.272498	0.00044	0.00396	-0.000536667	0.00114	0.00367	0.0063575	0.0071	0.478867	-0.04399	-0.0303825	0.38472	-0.018825
1	-0.118613	-0.00251	-0.523477	-0.0817	-0.0223675	-0.473633	-0.0218833	0.00643	-0.21994	0.01882	0.0023975	-0.265645	-0.00598	-0.00190333	-0.0158767	-0.000175	0.002425	-0.0017175	-0.0942333	1.49741	-0.133963	-0.164212	1.30095	-0.0710425
2	-0.0914933	-0.00354333	-0.562483	-0.0389175	-0.022975	-0.548515	0.0121667	0.00921333	-0.157783	0.0624475	0.004485	-0.236748	-0.0210267	-0.0175167	-0.0491567	-0.00837	-0.00625	-0.029395	-0.302683	2.99218	-0.264037	-0.39629	2.69267	-0.154995
3	-0.04203	-0.00471667	-0.536107	0.037245	-0.0225375	-0.595705	0.05372	0.00751667	-0.0580667	0.11612	0.0048325	-0.16752	-0.04308	-0.0435633	-0.0992033	-0.0237425	-0.0248325	-0.078515	-0.62372	4.52668	-0.38519	-0.70117	4.18978	-0.244545
4	0.00566667	-0.00554333	-0.499003	0.122093	-0.02425	-0.628898	0.0973333	0.0003	0.04008	0.17007	0.000905	-0.0718125	-0.0631567	-0.0730533	-0.15077	-0.03861	-0.04974	-0.134953	-0.994593	5.73953	-0.42313	-1.0101	5.40073	-0.276485
5	0.0437933	-0.00624	-0.507853	0.200445	-0.0310675	-0.692082	0.14975	-0.00816667	0.123963	0.226627	-0.0061625	0.0403575	-0.07351	-0.09497	-0.183933	-0.0441025	-0.0727975	-0.179175	-1.30952	6.66739	-0.354703	-1.25202	6.2889	-0.208633
6	0.0950267	-0.00946667	-0.555483	0.271927	-0.042455	-0.779898	0.222563	-0.01309	0.224583	0.288458	-0.0136	0.186195	-0.07477	-0.103513	-0.18973	-0.039585	-0.090035	-0.205322	-1.52723	7.45257	-0.22001	-1.42014	7.00176	-0.0646975
7	0.181513	-0.01938	-0.64245	0.346367	-0.05592	-0.917107	0.31864	-0.0134633	0.35392	0.363303	-0.015345	0.35496	-0.07321	-0.10022	-0.172353	-0.0328825	-0.09383	-0.205558	-1.70642	8.21143	-0.06882	-1.60664	7.8692	0.120018
8	0.302223	-0.03764	-0.74358	0.403063	-0.0737825	-1.08023	0.425053	-0.0113867	0.493187	0.435555	-0.0170175	0.526768	-0.0738133	-0.0900233	-0.140537	-0.0309225	-0.0900825	-0.182408	-1.89196	8.98408	0.06682	-1.86525	8.99703	0.261743
9	0.419583	-0.0601733	-0.858743	0.47266	-0.0955025	-1.19399	0.515217	-0.00824667	0.598433	0.507458	-0.01785	0.682215	-0.0796033	-0.06999	-0.07938	-0.037165	-0.080555	-0.14868	-2.05586	9.90994	0.16422	-2.13433	10.1741	0.338715
10	0.530187	-0.08538	-0.879997	0.568982	-0.121992	-1.22421	0.589613	-0.00701	0.689637	0.578135	-0.0177625	0.808085	-0.08621	-0.05191	-0.0201967	-0.05013	-0.0640225	-0.0986675	-2.14091	10.7145	0.230573	-2.3254	11.276	0.358658
11	0.620987	-0.106567	-0.82374	0.684548	-0.150038	-1.15679	0.64255	-0.00664667	0.76175	0.64212	-0.0165675	0.916955	-0.09199	-0.03322	0.0425167	-0.06343	-0.043845	-0.039125	-2.14798	11.3942	0.273417	-2.39688	12.1665	0.367833
12	0.68796	-0.12058	-0.724277	0.787807	-0.17342	-1.03331	0.674653	-0.00615667	0.809337	0.689325	-0.014035	1.00446	-0.0942967	-0.01405	0.105137	-0.0709375	-0.0227975	0.02298	-2.09254	11.8677	0.306733	-2.36039	12.7686	0.40161
13	0.731883	-0.125807	-0.618413	0.855792	-0.18776	-0.908145	0.6889	-0.00440333	0.826937	0.71753	-0.009525	1.05694	-0.09177	0.00630667	0.166713	-0.07067	-0.0011925	0.0832025	-1.98752	12.1118	0.342117	-2.23862	13.0768	0.46227
14	0.75234	-0.122097	-0.52645	0.890335	-0.19281	-0.807273	0.68653	-0.000836667	0.816877	0.730225	-0.002765	1.07221	-0.08485	0.02817	0.226803	-0.064455	0.0215425	0.139388	-1.84818	12.1319	0.37852	-2.06044	13.1191	0.5295
15	0.751047	-0.111853	-0.460657	0.901405	-0.190295	-0.737883	0.666983	0.00444	0.783667	0.72884	0.005675	1.05387	-0.0756167	0.0512833	0.28486	-0.05532	0.0452725	0.191218	-1.69294	11.944	0.406193	-1.85802	12.931	0.583317
16	0.733813	-0.0979033	-0.420133	0.894565	-0.180718	-0.691163	0.630917	0.01074	0.731593	0.71299	0.015125	1.0056	-0.06624	0.0746833	0.339883	-0.0455625	0.0691375	0.239152	-1.53547	11.581	0.417607	-1.65146	12.5525	0.61411
17	0.70748	-0.0813867	-0.387433	0.873787	-0.164632	-0.64616	0.581847	0.0175	0.66613	0.683435	0.025035	0.93461	-0.0580133	0.09726	0.390647	-0.0364825	0.09201	0.283275	-1.38282	11.087	0.412153	-1.45175	12.0225	0.62107
18	0.679477	-0.06296	-0.343413	0.843717	-0.143975	-0.588363	0.525553	0.02448	0.59328	0.64273	0.0349	0.849413	-0.05127	0.118323	0.43623	-0.028755	0.112983	0.323113	-1.23961	10.5052	0.395547	-1.26639	11.3777	0.60896
19	0.656963	-0.0445733	-0.281943	0.81182	-0.12176	-0.514555	0.46821	0.0314867	0.517593	0.595413	0.04433	0.75744	-0.0456033	0.137517	0.47619	-0.0225	0.131475	0.358167	-1.10937	9.87415	0.375603	-1.09899	10.6566	0.585902
20	0.639203	-0.02839	-0.213443	0.784362	-0.100158	-0.42503	0.41404	0.0381833	0.441777	0.545818	0.05322	0.665072	-0.0403467	0.154717	0.510467	-0.0176025	0.147305	0.38843	-0.993777	9.22872	0.357973	-0.952268	9.89531	0.558712
21	0.619187	-0.01463	-0.15271	0.759302	-0.079075	-0.3283	0.364437	0.0439633	0.366987	0.496702	0.0614975	0.57515	-0.0348833	0.169953	0.539187	-0.01388	0.160713	0.41421	-0.891707	8.59829	0.344607	-0.827255	9.12509	0.52988
22	0.5895	-0.00199667	-0.103967	0.726178	-0.05838	-0.242365	0.318383	0.0479367	0.29422	0.449103	0.0684775	0.487355	-0.02889	0.183063	0.56252	-0.010925	0.1719	0.435985	-0.800913	8.00485	0.334017	-0.720415	8.37516	0.499113
23	0.548697	0.00944	-0.06728	0.675798	-0.039265	-0.181735	0.275147	0.0495133	0.225227	0.40267	0.07321	0.401605	-0.02247	0.193787	0.580553	-0.008265	0.180853	0.45436	-0.71966	7.46192	0.323507	-0.627235	7.6713	0.464608
24	0.502907	0.0180333	-0.0418033	0.610378	-0.022125	-0.145123	0.2359	0.0492533	0.162267	0.357665	0.075355	0.31917	-0.01606	0.202177	0.593543	-0.00564	0.187625	0.469788	-0.646813	6.97645	0.311913	-0.5461	7.03275	0.424563
25	0.4617	0.0236833	-0.0208533	0.54101	-0.007155	-0.121982	0.203163	0.0486667	0.107447	0.315775	0.0752375	0.242852	-0.01032	0.20859	0.602023	-0.0030225	0.19227	0.482835	-0.580783	6.55202	0.300813	-0.477863	6.47206	0.379228
26	0.434243	0.02878	0.00168667	0.479142	0.0049875	-0.098895	0.179187	0.0491633	0.0600233	0.279508	0.0739475	0.17651	-0.00574667	0.213833	0.60687	-0.00066	0.195207	0.494387	-0.51659	6.19095	0.294023	-0.423395	5.99607	0.331243
27	0.42218	0.03523	0.0248433	0.432798	0.01434	-0.06966	0.16365	0.0511767	0.0165133	0.251735	0.07283	0.12089	-0.00217667	0.21908	0.609683	0.0012825	0.197505	0.505633	-0.447147	5.89662	0.29528	-0.381088	5.60792	0.286508
28	0.417993	0.0430167	0.04863	0.40243	0.022	-0.0342975	0.154687	0.0545033	-0.02583	0.2339	0.072705	0.0740175	0.000943333	0.22553	0.612563	0.0029625	0.200415	0.518088	-0.367393	5.67509	0.30512	-0.34642	5.30961	0.253018
29	0.411647	0.05152	0.0781633	0.381965	0.029395	0.0046325	0.149173	0.0587833	-0.0677267	0.225637	0.074295	0.0338675	0.00398667	0.234043	0.618037	0.00467	0.205405	0.533355	-0.276087	5.5336	0.319187	-0.313495	5.10491	0.23674
30	0.40059	0.0595667	0.11127	0.381307	0.036725	0.005565	0.14528	0.0635367	-0.109313	0.236968	0.0795425	-0.0209775	0.00702667	0.2451	0.628807	0.0085325	0.215988	0.555345	-0.176563	5.47993	0.331193	-0.239117	4.94682	0.256927
31	0.392233	0.0669267	0.14102	0.368708	0.045925	0.0342225	0.144923	0.0688233	-0.150397	0.244335	0.08576	-0.0548425	0.00988667	0.259153	0.647307	0.0110675	0.228912	0.581265	-0.07319	5.52181	0.335917	-0.192803	4.95091	0.275785
32	0.394087	0.0747267	0.16857	0.359062	0.05584	0.0552625	0.1491	0.0748967	-0.19024	0.25712	0.0939875	-0.09151	0.01268	0.276743	0.676043	0.014445	0.246725	0.615757	0.0307167	5.66725	0.331363	-0.131248	5.05434	0.30034
33	0.40827	0.08299	0.195087	0.3577	0.06635	0.0757475	0.15662	0.0815333	-0.2278	0.277315	0.10422	-0.130788	0.0161	0.29844	0.71747	0.019205	0.26998	0.660973	0.130013	5.92448	0.321453	-0.0524325	5.26337	0.325068
34	0.435417	0.0911567	0.221323	0.36895	0.0775925	0.104088	0.16822	0.08891	-0.260913	0.306188	0.11612	-0.170558	0.0208933	0.324883	0.772703	0.0258725	0.298833	0.718788	0.219593	6.29834	0.314487	0.03748	5.58673	0.346148
35	0.47485	0.09925	0.249287	0.397178	0.08901	0.1397	0.18487	0.0976733	-0.287587	0.34325	0.12933	-0.208378	0.0274433	0.35654	0.84139	0.0348275	0.333375	0.790752	0.29924	6.78514	0.317647	0.129805	6.03234	0.36031
36	0.52297	0.107743	0.279773	0.43951	0.09935	0.174698	0.206503	0.10818	-0.306667	0.38585	0.143618	-0.242555	0.0359733	0.393393	0.92221	0.0463625	0.373722	0.87757	0.3747	7.36933	0.333233	0.220497	6.59948	0.365015
