Time	RPelvisAngleX	RPelvisAngleY	RPelvisAngleZ	LPelvisAngleX	LPelvisAngleY	LPelvisAngleZ	RHipAngleX	RHipAngleY	RHipAngleZ	LHipAngleX	LHipAngleY	LHipAngleZ	RKneeAngleX	RKneeAngleY	RKneeAngleZ	LKneeAngleX	LKneeAngleY	LKneeAngleZ	RAnkleAngleX	RAnkleAngleY	RAnkleAngleZ	LAnkleAngleX	LAnkleAngleY	LAnkleAngleZ	RFootAngleX	RFootAngleY	RFootAngleZ	LFootAngleX	LFootAngleY	LFootAngleZ
0	-4.40634	10.5877	-1.74737	1.30819	3.37128	-1.64196	-4.77529	-4.00046	16.6803	0.654	-9.36512	17.0547	2.8611	-32.7841	5.02469	4.84185	-14.7209	2.41925	8.95001	14.9392	2.89259	0.93059	12.2077	1.91763	11.4701	13.5604	20.5863	5.62752	8.49159	18.8768
1	-4.41422	11.0986	-1.66639	1.25848	3.8012	-1.66366	-4.73133	-4.10991	16.0923	0.581402	-9.44493	16.8951	3.02637	-32.7557	5.51744	4.83421	-14.3246	3.6403	8.67756	14.8101	2.48416	0.653442	11.9677	1.45117	11.6626	13.1583	18.8586	5.74093	7.95586	16.9479
2	-4.36842	11.5573	-1.55612	1.26037	4.16775	-1.6396	-4.54913	-4.15961	15.3386	0.618992	-9.45813	16.6263	3.10298	-32.929	5.55163	4.8783	-14.1182	4.63373	8.12087	14.4538	1.46918	0.259868	11.4449	0.350572	11.832	13.0923	16.7129	5.98573	7.79923	14.4422
3	-4.23902	11.891	-1.41844	1.34012	4.43573	-1.58683	-4.22406	-4.04943	14.5723	0.787812	-9.37014	16.3007	3.10359	-33.0878	5.35293	4.90596	-14.0286	5.42762	7.17016	13.7128	0.134917	-0.358716	10.6616	-1.08245	11.7382	13.2638	14.2515	6.07189	7.92744	11.6433
4	-4.024	12.0367	-1.28008	1.50506	4.57045	-1.53574	-3.81894	-3.82643	13.9908	1.05178	-9.22812	16.0317	3.12257	-32.749	5.44595	4.86989	-13.7065	6.33454	5.91562	12.5964	-0.874	-1.10917	9.75096	-2.25446	11.1812	13.3426	11.7765	5.82996	8.00423	8.99691
5	-3.74782	11.9607	-1.17401	1.74131	4.54494	-1.51859	-3.39439	-3.58921	13.6894	1.36787	-9.10687	15.894	3.26245	-31.8112	6.14579	4.81297	-13.013	7.63394	4.59539	11.3844	-1.23473	-1.86203	8.92208	-2.86671	10.2676	13.1588	9.54626	5.33789	7.83789	6.68982
6	-3.42751	11.6745	-1.14337	2.02223	4.34929	-1.55873	-2.92657	-3.42973	13.5233	1.74424	-9.0421	15.8244	3.48874	-30.6766	7.22179	4.7727	-12.1782	9.22739	3.27491	10.5344	-1.00126	-2.87316	8.43945	-2.85527	9.11596	12.7595	7.74694	4.43887	7.45516	4.78636
7	-3.06805	11.2251	-1.21021	2.30741	3.99199	-1.66937	-2.35317	-3.39094	13.236	2.20306	-9.01972	15.6485	3.68662	-29.7447	8.21945	4.71608	-11.4273	10.7472	1.97473	10.299	-0.41539	-4.28617	8.40082	-2.35738	7.85761	12.2648	6.41313	3.07266	6.96136	3.32101
8	-2.68524	10.6557	-1.33876	2.55982	3.51784	-1.84039	-1.65757	-3.38877	12.6981	2.73114	-9.03032	15.2288	3.7962	-29.1385	8.89054	4.59928	-10.7242	11.953	0.76896	10.5655	0.32908	-5.84534	8.65128	-1.5585	6.63629	11.7674	5.44814	1.513	6.42523	2.26845
9	-2.30906	10.0159	-1.47875	2.77498	3.00396	-2.02132	-0.88592	-3.32301	11.9371	3.28794	-9.05401	14.5774	3.81285	-28.7482	9.21996	4.42433	-9.94487	12.8248	-0.249645	11.0175	1.1194	-7.18578	8.89224	-0.594776	5.56489	11.3298	4.74595	0.117742	5.92273	1.57424
10	-1.94951	9.39509	-1.6151	2.97808	2.52403	-2.15223	-0.09999	-3.22227	11.0334	3.83628	-9.09857	13.806	3.76165	-28.3535	9.29663	4.22354	-9.06827	13.4158	-1.05379	11.3652	1.87515	-8.08248	8.93155	0.38847	4.68874	10.9671	4.21726	-0.870688	5.54	1.15463
11	-1.60248	8.86666	-1.73974	3.18787	2.11626	-2.20466	0.65265	-3.14988	10.076	4.34574	-9.18456	13.0029	3.68417	-27.8448	9.23323	4.05001	-8.2323	13.7638	-1.64287	11.4892	2.57517	-8.55096	8.8524	1.3034	4.02217	10.6833	3.81749	-1.42832	5.30112	0.91927
12	-1.29175	8.46385	-1.84491	3.40037	1.78622	-2.18371	1.32259	-3.15995	9.10884	4.79426	-9.33553	12.199	3.60274	-27.2845	9.0888	3.94146	-7.59804	13.8963	-2.03278	11.475	3.22004	-8.74729	8.87218	2.13708	3.55398	10.479	3.51836	-1.68387	5.16937	0.79237
13	-1.06308	8.1809	-1.92557	3.59071	1.51403	-2.11788	1.86536	-3.26859	8.13184	5.16596	-9.52037	11.3873	3.52236	-26.8	8.8646	3.90102	-7.21682	13.8477	-2.27272	11.4905	3.81244	-8.81307	9.08133	2.89436	3.23668	10.3361	3.29	-1.78104	5.10018	0.718808
14	-0.955605	7.9751	-1.96971	3.73054	1.27328	-2.03547	2.25376	-3.42661	7.14317	5.45185	-9.73055	10.5581	3.44891	-26.4677	8.55193	3.89824	-6.96526	13.6705	-2.41438	11.6244	4.36297	-8.82957	9.40727	3.58263	3.01828	10.234	3.11135	-1.81628	5.06112	0.667792
