Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT2X	R.MT2Y	R.MT2Z	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT2X	L.MT2Y	L.MT2Z
0	785.783	914.45	1367.79	779.654	924.829	1094.1	607.636	925.867	1267.32	608.948	928.143	1191.83	708.066	974.959	1060.72	706.724	963.996	1408.6	709.372	831.06	1409.53	767.15	463.649	1409.28	747.178	396.69	1419.06	801.51	377.328	1367.59	665.879	63.8016	1408.28	626.41	47.7343	1365.06	815.252	35.0322	1356.26	790.465	15.7549	1422.02	700.185	830.357	1050.87	745.88	471.908	1048.01	732.034	405.183	1038.95	780.843	380.799	1091.39	678.989	67.7369	1040.95	632.835	43.1035	1079.96	821.99	33.3509	1101.59	796.279	19.782	1031.72	766.166	448.225	1286.67	693.408	75.5673	1328.47	810.707	28.3407	1384.65	746.597	448.513	1171.22	702.564	73.8707	1124.6	823.045	28.7289	1073.35
0.007	785.785	914.453	1367.78	779.625	924.828	1094.08	607.632	925.852	1267.33	608.936	928.135	1191.83	708.056	974.948	1060.72	706.727	963.997	1408.58	709.374	831.051	1409.52	767.162	463.65	1409.28	747.192	396.698	1419.06	801.524	377.334	1367.59	665.868	63.8038	1408.28	626.411	47.7388	1365.04	815.248	35.0355	1356.26	790.475	15.7556	1422.01	700.183	830.355	1050.88	745.893	471.901	1048.01	732.052	405.183	1038.95	780.853	380.809	1091.4	678.982	67.7266	1040.96	632.759	43.2253	1079.99	821.987	33.339	1101.59	796.29	19.7889	1031.71	766.221	448.191	1286.67	693.415	75.5692	1328.46	810.684	28.3934	1384.88	746.614	448.524	1171.23	702.56	73.8674	1124.6	823.046	28.7213	1073.34
0.013	785.77	914.453	1367.78	779.613	924.826	1094.07	607.631	925.839	1267.32	608.923	928.119	1191.84	708.033	974.942	1060.72	706.713	964.004	1408.59	709.376	831.04	1409.52	767.171	463.64	1409.29	747.206	396.695	1419.07	801.535	377.326	1367.6	665.867	63.8036	1408.29	626.412	47.7139	1365.07	815.249	35.0317	1356.25	790.465	15.7558	1422.01	700.177	830.352	1050.88	745.898	471.896	1048.01	732.059	405.164	1038.95	780.86	380.799	1091.4	678.98	67.7302	1040.96	632.754	43.221	1079.99	821.996	33.3437	1101.59	796.283	19.7858	1031.72	766.23	448.19	1286.66	693.418	75.5693	1328.48	810.683	28.3904	1384.88	746.613	448.517	1171.23	702.56	73.8729	1124.59	823.037	28.7217	1073.35
0.02	785.773	914.451	1367.78	779.606	924.829	1094.08	607.632	925.832	1267.33	608.925	928.112	1191.86	708.011	974.941	1060.7	706.713	963.999	1408.6	709.391	831.033	1409.54	767.179	463.637	1409.29	747.231	396.675	1419.06	801.553	377.317	1367.59	665.861	63.8026	1408.28	626.4	47.724	1365.07	815.249	35.0417	1356.25	790.46	15.7554	1422.01	700.176	830.346	1050.88	745.905	471.899	1048.01	732.061	405.167	1038.94	780.867	380.794	1091.39	678.979	67.7225	1040.96	632.749	43.2176	1079.98	821.993	33.3401	1101.59	796.284	19.7831	1031.72	766.243	448.189	1286.65	693.356	75.6026	1328.51	810.669	28.3866	1384.87	746.628	448.521	1171.2	702.558	73.8577	1124.6	823.038	28.7214	1073.34
0.027	785.763	914.452	1367.78	779.591	924.819	1094.07	607.623	925.823	1267.32	608.906	928.101	1191.86	707.987	974.921	1060.7	706.71	963.987	1408.58	709.388	831.019	1409.52	767.21	463.636	1409.29	747.233	396.664	1419.06	801.567	377.313	1367.59	665.871	63.8003	1408.27	626.405	47.7264	1365.06	815.246	35.0381	1356.24	790.236	15.7545	1421.8	700.167	830.343	1050.87	745.905	471.896	1048	732.069	405.164	1038.93	780.869	380.783	1091.39	678.976	67.7215	1040.95	632.752	43.2189	1079.98	821.991	33.3488	1101.59	796.29	19.7771	1031.72	766.214	448.218	1286.65	693.363	75.6132	1328.51	810.706	28.3536	1384.64	746.635	448.522	1171.22	702.564	73.8643	1124.6	823.037	28.7226	1073.35
0.033	785.775	914.449	1367.78	779.6	924.826	1094.07	607.615	925.824	1267.32	608.903	928.098	1191.86	707.974	974.912	1060.7	706.711	963.998	1408.59	709.399	831.017	1409.52	767.226	463.629	1409.28	747.262	396.682	1419.05	801.574	377.299	1367.58	665.873	63.8038	1408.28	626.415	47.716	1365.06	815.233	35.0441	1356.24	790.239	15.7579	1421.79	700.161	830.343	1050.86	745.925	471.896	1048	732.071	405.161	1038.93	780.873	380.784	1091.4	678.985	67.7316	1040.95	632.838	43.1013	1079.94	821.985	33.3513	1101.6	796.282	19.7846	1031.7	766.267	448.193	1286.64	693.408	75.571	1328.46	810.678	28.4033	1384.89	746.652	448.515	1171.2	702.56	73.8613	1124.59	823.038	28.7284	1073.34
0.04	785.778	914.442	1367.77	779.591	924.823	1094.05	607.619	925.813	1267.32	608.895	928.09	1191.87	707.95	974.894	1060.68	706.713	963.991	1408.59	709.41	831.005	1409.52	767.249	463.625	1409.27	747.277	396.66	1419.07	801.599	377.304	1367.56	665.867	63.8087	1408.27	626.409	47.7359	1365.04	815.24	35.0437	1356.24	790.237	15.7555	1421.79	700.17	830.335	1050.87	745.94	471.893	1048	732.086	405.155	1038.93	780.898	380.787	1091.39	678.981	67.733	1040.95	632.833	43.0912	1079.94	821.985	33.346	1101.59	796.286	19.7769	1031.71	766.281	448.194	1286.63	693.411	75.5651	1328.44	810.677	28.4045	1384.88	746.656	448.508	1171.21	702.567	73.8651	1124.59	823.029	28.7289	1073.35
0.047	785.787	914.443	1367.78	779.584	924.81	1094.05	607.621	925.802	1267.33	608.901	928.077	1191.87	707.944	974.886	1060.68	706.705	964.002	1408.58	709.421	831.005	1409.53	767.265	463.628	1409.26	747.3	396.684	1419.04	801.618	377.295	1367.56	665.876	63.8136	1408.27	626.416	47.7238	1365.05	815.245	35.0456	1356.24	790.241	15.7635	1421.77	700.168	830.331	1050.87	745.934	471.891	1048	732.09	405.157	1038.93	780.897	380.788	1091.39	678.974	67.7296	1040.94	632.833	43.084	1079.94	821.991	33.353	1101.59	796.285	19.7895	1031.71	766.3	448.174	1286.63	693.376	75.6063	1328.5	810.702	28.3562	1384.63	746.675	448.481	1171.2	702.568	73.8648	1124.58	823.037	28.7189	1073.34
0.053	785.789	914.437	1367.78	779.581	924.816	1094.04	607.634	925.784	1267.34	608.892	928.073	1191.88	707.932	974.871	1060.68	706.708	964.003	1408.58	709.434	830.996	1409.52	767.283	463.618	1409.26	747.328	396.673	1419.03	801.627	377.288	1367.56	665.877	63.8158	1408.26	626.398	47.7324	1365.03	815.244	35.0408	1356.22	790.237	15.7626	1421.78	700.171	830.329	1050.86	745.96	471.894	1047.99	732.101	405.159	1038.92	780.909	380.784	1091.38	678.969	67.7279	1040.95	632.833	43.092	1079.93	821.993	33.3586	1101.59	796.294	19.7859	1031.7	766.317	448.181	1286.6	693.361	75.6051	1328.49	810.701	28.3585	1384.63	746.681	448.492	1171.2	702.563	73.8595	1124.58	823.038	28.7262	1073.33
0.06	785.795	914.438	1367.78	779.577	924.821	1094.06	607.63	925.769	1267.34	608.891	928.066	1191.87	707.934	974.856	1060.68	706.718	963.993	1408.57	709.439	830.996	1409.52	767.298	463.612	1409.24	747.335	396.637	1419.02	801.643	377.287	1367.55	665.881	63.8061	1408.24	626.4	47.7276	1365.03	815.244	35.0507	1356.23	790.235	15.7662	1421.78	700.171	830.321	1050.85	745.95	471.889	1047.99	732.104	405.155	1038.92	780.91	380.79	1091.37	678.979	67.7268	1040.94	632.834	43.0911	1079.92	821.992	33.3534	1101.59	796.284	19.7858	1031.71	766.339	448.18	1286.61	693.355	75.6119	1328.47	810.675	28.4089	1384.86	746.691	448.499	1171.21	702.565	73.8562	1124.57	823.035	28.7243	1073.34
0.067	785.805	914.438	1367.77	779.577	924.826	1094.04	607.639	925.758	1267.35	608.887	928.051	1191.89	707.931	974.849	1060.68	706.711	963.994	1408.59	709.448	830.985	1409.52	767.31	463.608	1409.26	747.35	396.666	1419.02	801.653	377.284	1367.55	665.876	63.8123	1408.25	626.397	47.7183	1365.05	815.242	35.0388	1356.23	790.241	15.7589	1421.77	700.177	830.322	1050.85	745.946	471.894	1047.99	732.04	405.161	1038.96	780.91	380.781	1091.38	678.968	67.7263	1040.95	632.746	43.2304	1079.98	821.994	33.3533	1101.58	796.287	19.7797	1031.7	766.341	448.183	1286.6	693.356	75.6056	1328.47	810.693	28.3641	1384.63	746.701	448.507	1171.2	702.568	73.8592	1124.57	823.035	28.731	1073.33
0.073	785.807	914.432	1367.79	779.585	924.82	1094.04	607.645	925.743	1267.36	608.892	928.052	1191.9	707.933	974.845	1060.67	706.716	963.988	1408.59	709.463	830.977	1409.52	767.323	463.606	1409.25	747.353	396.62	1419.03	801.661	377.277	1367.54	665.869	63.8173	1408.25	626.395	47.7073	1365.05	815.235	35.0358	1356.23	790.241	15.7627	1421.76	700.18	830.326	1050.85	745.952	471.891	1047.98	732.047	405.165	1038.95	780.918	380.787	1091.38	678.972	67.7278	1040.95	632.755	43.223	1079.98	821.988	33.3614	1101.58	796.271	19.7806	1031.7	766.361	448.175	1286.59	693.353	75.6071	1328.48	810.683	28.409	1384.87	746.715	448.494	1171.21	702.566	73.8628	1124.58	823.033	28.7266	1073.33
0.08	785.821	914.427	1367.78	779.578	924.815	1094.05	607.654	925.73	1267.35	608.898	928.034	1191.89	707.939	974.834	1060.67	706.723	963.989	1408.59	709.467	830.972	1409.52	767.328	463.603	1409.26	747.366	396.65	1419.03	801.674	377.264	1367.54	665.865	63.8126	1408.24	626.39	47.7153	1365.04	815.242	35.0393	1356.23	790.232	15.768	1421.78	700.18	830.316	1050.85	745.955	471.893	1047.98	732.115	405.158	1038.91	780.918	380.777	1091.37	678.97	67.7268	1040.95	632.754	43.2163	1079.97	821.99	33.3567	1101.58	796.285	19.7814	1031.7	766.383	448.174	1286.59	693.346	75.5991	1328.46	810.693	28.3682	1384.63	746.73	448.496	1171.19	702.561	73.8648	1124.58	823.037	28.726	1073.33
0.087	785.83	914.426	1367.78	779.592	924.819	1094.04	607.665	925.715	1267.37	608.903	928.036	1191.9	707.938	974.84	1060.68	706.732	963.992	1408.58	709.489	830.967	1409.53	767.346	463.591	1409.24	747.376	396.644	1419.03	801.676	377.255	1367.53	665.865	63.8157	1408.25	626.387	47.7073	1365.05	815.237	35.0452	1356.23	790.231	15.7515	1421.78	700.192	830.327	1050.85	745.971	471.889	1047.99	732.05	405.165	1038.95	780.927	380.771	1091.37	678.962	67.7194	1040.94	632.75	43.2108	1079.98	821.992	33.3593	1101.57	796.277	19.781	1031.71	766.403	448.169	1286.59	693.35	75.5978	1328.46	810.677	28.4114	1384.87	746.746	448.519	1171.19	702.559	73.8566	1124.57	823.028	28.7289	1073.33
0.093	785.841	914.411	1367.8	779.601	924.816	1094.05	607.674	925.706	1267.36	608.919	928.021	1191.88	707.94	974.837	1060.67	706.741	963.978	1408.59	709.503	830.972	1409.52	767.359	463.585	1409.25	747.396	396.634	1419.02	801.696	377.246	1367.53	665.863	63.8204	1408.24	626.387	47.7193	1365.04	815.238	35.0492	1356.23	790.23	15.7609	1421.78	700.199	830.319	1050.85	745.967	471.882	1047.98	732.055	405.16	1038.95	780.941	380.762	1091.37	678.959	67.7139	1040.94	632.752	43.2102	1079.97	821.995	33.3548	1101.57	796.295	19.7828	1031.7	766.412	448.164	1286.58	693.349	75.5938	1328.47	810.669	28.4041	1384.86	746.769	448.496	1171.19	702.569	73.8555	1124.57	823.033	28.731	1073.33
0.1	785.848	914.418	1367.78	779.589	924.821	1094.04	607.683	925.697	1267.36	608.924	928.01	1191.88	707.941	974.84	1060.67	706.751	963.98	1408.58	709.514	830.962	1409.53	767.377	463.573	1409.24	747.422	396.637	1419.02	801.711	377.247	1367.53	665.867	63.8223	1408.23	626.399	47.7015	1365.05	815.238	35.0373	1356.22	790.237	15.7561	1421.77	700.209	830.321	1050.86	745.971	471.882	1047.98	732.074	405.17	1038.95	780.947	380.758	1091.36	678.957	67.7193	1040.94	632.751	43.2101	1079.96	821.999	33.3617	1101.57	796.288	19.7848	1031.7	766.437	448.168	1286.59	693.345	75.5888	1328.47	810.672	28.4126	1384.88	746.781	448.518	1171.2	702.568	73.8547	1124.57	823.038	28.7244	1073.32
0.107	785.859	914.409	1367.79	779.612	924.811	1094.03	607.688	925.682	1267.37	608.929	927.997	1191.88	707.941	974.837	1060.68	706.759	963.983	1408.58	709.53	830.956	1409.53	767.392	463.568	1409.24	747.44	396.625	1419.01	801.731	377.243	1367.52	665.858	63.8222	1408.23	626.386	47.7023	1365.05	815.241	35.0393	1356.23	790.233	15.7624	1421.76	700.217	830.32	1050.86	746.012	471.882	1047.99	732.081	405.163	1038.95	780.962	380.763	1091.36	678.956	67.7193	1040.95	632.749	43.2123	1079.97	821.99	33.3593	1101.57	796.297	19.7859	1031.69	766.457	448.157	1286.58	693.341	75.6017	1328.45	810.672	28.4194	1384.85	746.804	448.508	1171.19	702.57	73.8571	1124.55	823.033	28.7285	1073.32
0.113	785.872	914.408	1367.79	779.613	924.822	1094.03	607.708	925.668	1267.37	608.941	927.983	1191.87	707.932	974.831	1060.68	706.774	963.974	1408.58	709.544	830.944	1409.54	767.427	463.579	1409.23	747.458	396.631	1419.01	801.752	377.237	1367.52	665.861	63.8342	1408.24	626.383	47.7005	1365.04	815.237	35.0447	1356.23	790.236	15.7686	1421.76	700.239	830.315	1050.86	746.021	471.881	1047.99	732.097	405.154	1038.94	780.984	380.762	1091.36	678.96	67.7222	1040.94	632.747	43.2119	1079.97	822.003	33.3649	1101.56	796.291	19.7755	1031.69	766.471	448.15	1286.57	693.336	75.6009	1328.44	810.662	28.414	1384.86	746.827	448.503	1171.19	702.573	73.8591	1124.56	823.044	28.7355	1073.32
0.12	785.883	914.397	1367.8	779.614	924.823	1094.02	607.705	925.664	1267.38	608.958	927.968	1191.87	707.939	974.826	1060.67	706.783	963.972	1408.57	709.563	830.945	1409.54	767.441	463.562	1409.23	747.495	396.612	1419.01	801.773	377.226	1367.51	665.857	63.8286	1408.24	626.392	47.7086	1365.04	815.24	35.0414	1356.22	790.236	15.7703	1421.75	700.245	830.315	1050.87	746.028	471.882	1047.99	732.128	405.153	1038.94	781.001	380.756	1091.36	678.956	67.7233	1040.94	632.75	43.2101	1079.96	821.984	33.3749	1101.56	796.292	19.7821	1031.69	766.493	448.166	1286.57	693.341	75.5905	1328.44	810.668	28.4234	1384.85	746.856	448.506	1171.19	702.575	73.8585	1124.56	823.028	28.7315	1073.32
0.127	785.892	914.401	1367.8	779.639	924.823	1094.03	607.716	925.649	1267.37	608.964	927.959	1191.88	707.935	974.816	1060.67	706.785	963.968	1408.58	709.57	830.927	1409.54	767.469	463.561	1409.24	747.503	396.568	1419.01	801.788	377.214	1367.52	665.857	63.8241	1408.23	626.38	47.7025	1365.04	815.239	35.0453	1356.22	790.23	15.7605	1421.76	700.251	830.316	1050.86	746.053	471.884	1047.98	732.142	405.155	1038.94	781.02	380.748	1091.35	678.948	67.7275	1040.94	632.748	43.2097	1079.96	821.996	33.3771	1101.56	796.296	19.7764	1031.69	766.52	448.157	1286.57	693.342	75.5954	1328.44	810.679	28.3698	1384.63	746.873	448.509	1171.19	702.572	73.8422	1124.55	823.029	28.732	1073.32
0.133	785.909	914.4	1367.8	779.651	924.819	1094.04	607.73	925.634	1267.38	608.983	927.951	1191.87	707.934	974.809	1060.67	706.791	963.963	1408.58	709.592	830.918	1409.55	767.506	463.547	1409.24	747.544	396.587	1419.03	801.832	377.216	1367.51	665.863	63.8287	1408.23	626.39	47.7021	1365.02	815.237	35.0378	1356.23	790.233	15.7675	1421.75	700.267	830.314	1050.87	746.077	471.877	1047.99	732.154	405.155	1038.94	781.034	380.747	1091.34	678.957	67.7383	1040.93	632.744	43.2165	1079.97	822.004	33.3825	1101.55	796.289	19.7741	1031.68	766.539	448.159	1286.57	693.335	75.5913	1328.44	810.669	28.4181	1384.86	746.913	448.498	1171.19	702.576	73.8512	1124.55	823.026	28.7294	1073.32
0.14	785.917	914.389	1367.81	779.666	924.812	1094.05	607.736	925.623	1267.38	608.99	927.939	1191.89	707.944	974.797	1060.69	706.799	963.953	1408.59	709.609	830.91	1409.56	767.543	463.533	1409.23	747.556	396.568	1419.02	801.855	377.21	1367.51	665.865	63.8262	1408.23	626.396	47.7019	1365.03	815.236	35.0421	1356.22	790.238	15.7726	1421.76	700.284	830.308	1050.87	746.091	471.871	1047.99	732.191	405.148	1038.95	781.056	380.739	1091.35	678.953	67.7336	1040.94	632.745	43.2167	1079.98	822.005	33.3826	1101.56	796.288	19.7724	1031.69	766.576	448.151	1286.57	693.325	75.6033	1328.43	810.691	28.3759	1384.63	746.946	448.492	1171.19	702.586	73.8455	1124.55	823.03	28.7275	1073.31
0.147	785.927	914.381	1367.82	779.68	924.807	1094.05	607.748	925.605	1267.38	609.001	927.923	1191.9	707.957	974.78	1060.68	706.806	963.943	1408.6	709.625	830.898	1409.56	767.569	463.516	1409.22	747.596	396.553	1419.02	801.876	377.192	1367.51	665.863	63.825	1408.22	626.392	47.7023	1365.03	815.236	35.0378	1356.22	790.233	15.7632	1421.74	700.3	830.301	1050.88	746.132	471.869	1047.99	732.218	405.135	1038.95	781.088	380.73	1091.35	678.952	67.73	1040.94	632.744	43.22	1079.96	821.988	33.3811	1101.56	796.294	19.7678	1031.7	766.604	448.156	1286.56	693.346	75.5792	1328.44	810.67	28.4246	1384.86	746.984	448.465	1171.18	702.586	73.8462	1124.55	823.028	28.7298	1073.32
0.153	785.947	914.384	1367.83	779.696	924.809	1094.06	607.764	925.585	1267.39	609.018	927.911	1191.9	707.962	974.778	1060.69	706.806	963.937	1408.61	709.645	830.894	1409.57	767.598	463.521	1409.24	747.618	396.542	1419.02	801.909	377.189	1367.51	665.864	63.8195	1408.22	626.39	47.6893	1365.04	815.238	35.042	1356.22	790.236	15.7658	1421.75	700.334	830.297	1050.89	746.155	471.867	1047.99	732.251	405.128	1038.95	781.121	380.734	1091.37	678.96	67.7257	1040.94	632.748	43.2169	1079.97	822.01	33.3855	1101.57	796.298	19.771	1031.69	766.64	448.146	1286.58	693.328	75.5894	1328.42	810.695	28.3734	1384.63	747.015	448.481	1171.19	702.582	73.8455	1124.55	823.035	28.7307	1073.32
0.16	785.964	914.379	1367.84	779.711	924.804	1094.06	607.775	925.573	1267.4	609.035	927.893	1191.92	707.965	974.769	1060.7	706.818	963.929	1408.62	709.666	830.88	1409.57	767.633	463.509	1409.24	747.642	396.544	1419.02	801.933	377.185	1367.51	665.866	63.8236	1408.22	626.389	47.7063	1365.03	815.232	35.0481	1356.21	790.232	15.7689	1421.75	700.349	830.294	1050.89	746.189	471.865	1048	732.282	405.127	1038.96	781.15	380.726	1091.37	678.958	67.7319	1040.95	632.744	43.2244	1079.96	822.012	33.3835	1101.57	796.291	19.7752	1031.69	766.678	448.12	1286.58	693.334	75.5842	1328.41	810.692	28.3803	1384.62	747.034	448.469	1171.19	702.589	73.8512	1124.56	823.031	28.7334	1073.32
0.167	785.981	914.372	1367.86	779.723	924.799	1094.06	607.793	925.553	1267.42	609.047	927.882	1191.93	707.974	974.763	1060.7	706.821	963.922	1408.63	709.684	830.872	1409.59	767.659	463.503	1409.24	747.671	396.53	1419.02	801.952	377.179	1367.51	665.862	63.8299	1408.21	626.386	47.6915	1365.04	815.237	35.0393	1356.22	790.239	15.7717	1421.75	700.381	830.29	1050.91	746.218	471.852	1048.01	732.384	405.112	1038.93	781.18	380.73	1091.39	678.963	67.7329	1040.94	632.748	43.2265	1079.97	822.012	33.3847	1101.57	796.281	19.7744	1031.69	766.714	448.132	1286.57	693.333	75.5796	1328.42	810.674	28.4239	1384.86	747.07	448.463	1171.21	702.61	73.8431	1124.55	823.026	28.7268	1073.32
0.173	785.994	914.363	1367.87	779.747	924.796	1094.09	607.806	925.532	1267.42	609.073	927.873	1191.95	707.986	974.748	1060.71	706.828	963.914	1408.64	709.711	830.856	1409.6	767.695	463.499	1409.25	747.701	396.54	1419.02	801.988	377.169	1367.51	665.867	63.8263	1408.22	626.382	47.7128	1365.03	815.238	35.0473	1356.21	790.242	15.7737	1421.73	700.404	830.279	1050.92	746.25	471.85	1048.02	732.403	405.106	1038.93	781.202	380.707	1091.4	678.966	67.7316	1040.94	632.749	43.2258	1079.97	822.014	33.3696	1101.56	796.294	19.7777	1031.68	766.747	448.121	1286.58	693.337	75.5958	1328.41	810.672	28.436	1384.86	747.091	448.474	1171.22	702.592	73.8458	1124.57	823.033	28.7325	1073.33
0.18	786.023	914.358	1367.87	779.779	924.79	1094.09	607.825	925.522	1267.44	609.083	927.871	1191.95	707.994	974.741	1060.72	706.833	963.903	1408.66	709.737	830.841	1409.62	767.724	463.481	1409.26	747.732	396.521	1419.03	802.02	377.161	1367.52	665.867	63.8268	1408.21	626.392	47.6975	1365.03	815.241	35.0464	1356.21	790.232	15.7804	1421.73	700.421	830.281	1050.93	746.29	471.847	1048.03	732.426	405.101	1038.93	781.229	380.702	1091.4	678.97	67.7395	1040.94	632.755	43.2279	1079.97	822.009	33.3784	1101.57	796.291	19.7768	1031.69	766.792	448.107	1286.59	693.335	75.5783	1328.4	810.662	28.4321	1384.86	747.138	448.466	1171.21	702.6	73.8371	1124.56	823.035	28.7309	1073.32
0.187	786.031	914.346	1367.9	779.801	924.783	1094.1	607.845	925.508	1267.45	609.105	927.856	1191.96	707.999	974.731	1060.72	706.849	963.897	1408.67	709.757	830.83	1409.63	767.758	463.466	1409.25	747.767	396.508	1419.03	802.035	377.149	1367.52	665.862	63.8274	1408.21	626.389	47.709	1365.02	815.24	35.0473	1356.21	790.234	15.7832	1421.74	700.459	830.277	1050.94	746.315	471.839	1048.03	732.462	405.092	1038.95	781.249	380.684	1091.41	678.972	67.7408	1040.95	632.754	43.23	1079.97	822.014	33.3747	1101.57	796.291	19.7788	1031.7	766.834	448.103	1286.6	693.343	75.5849	1328.41	810.672	28.4264	1384.87	747.167	448.431	1171.22	702.596	73.8353	1124.57	823.028	28.7192	1073.33
0.193	786.06	914.352	1367.91	779.827	924.777	1094.11	607.87	925.487	1267.47	609.13	927.851	1191.99	708.017	974.715	1060.74	706.859	963.888	1408.69	709.782	830.822	1409.64	767.791	463.468	1409.27	747.8	396.489	1419.03	802.061	377.132	1367.51	665.864	63.8327	1408.22	626.384	47.7054	1365.03	815.243	35.046	1356.2	790.233	15.7669	1421.74	700.494	830.27	1050.94	746.363	471.829	1048.04	732.494	405.076	1038.95	781.297	380.677	1091.41	678.982	67.7377	1040.95	632.764	43.2232	1079.96	822.018	33.3761	1101.57	796.292	19.7632	1031.69	766.878	448.082	1286.59	693.327	75.5812	1328.4	810.673	28.4264	1384.85	747.186	448.419	1171.23	702.603	73.8328	1124.56	823.037	28.7214	1073.33
