Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	NaN	NaN	NaN	-0.0343971	-0.00546857	-0.502856	NaN	NaN	NaN	-0.00541714	0.00311286	-0.313243	NaN	NaN	NaN	0.00637	0.0158514	0.0205114	-0.0714425	0.612295	-0.0488525	-0.00104857	0.668033	-0.07818
1	-0.18642	-0.02178	-0.467623	-0.0248614	-0.00954286	-0.602477	-0.0401325	-0.01125	-0.25296	0.00350429	-0.00133857	-0.321013	0.0117275	0.006385	0.0096025	0.00524857	0.0128471	0.02013	-0.179638	1.59088	-0.133383	-0.0930414	1.78928	-0.192779
2	-0.195808	-0.0199875	-0.590168	0.0257414	-0.0105343	-0.598851	-0.03237	-0.0121525	-0.246557	0.0300914	-0.00336571	-0.261971	0.00508	-0.0005875	-0.00323	-0.00288429	0.00370143	0.00601429	-0.337775	2.87536	-0.238498	-0.274824	3.1897	-0.313
3	-0.121147	-0.01346	-0.577855	0.128219	-0.01049	-0.44472	0.003475	-0.0097975	-0.160645	0.0817329	-0.00446714	-0.13271	-0.008	-0.013495	-0.0286975	-0.0142843	-0.01091	-0.0228757	-0.528197	4.10268	-0.303337	-0.531926	4.41689	-0.360897
4	0.0232275	-0.0088275	-0.47446	0.256009	-0.01314	-0.282166	0.068225	-0.00629	-0.0343925	0.152197	-0.00606429	-0.00439714	-0.0201125	-0.027225	-0.058575	-0.0216114	-0.0260886	-0.0566829	-0.721998	4.9699	-0.277015	-0.805119	5.24993	-0.29147
5	0.175567	-0.0104775	-0.40426	0.359057	-0.0192543	-0.271109	0.144765	-0.00256	0.077815	0.2228	-0.00721143	0.0695114	-0.02572	-0.0349875	-0.0785675	-0.0214257	-0.03595	-0.0800386	-0.88577	5.4326	-0.165255	-1.02998	5.78557	-0.134374
6	0.273938	-0.0184025	-0.445287	0.418757	-0.0289	-0.405403	0.211125	0.0007175	0.158847	0.284447	-0.00606714	0.115367	-0.0244275	-0.0342675	-0.07824	-0.0163014	-0.03874	-0.0861329	-1.01117	5.68566	-0.0219875	-1.19772	6.23662	0.0411686
7	0.307138	-0.0300175	-0.562688	0.460529	-0.04341	-0.568574	0.258483	0.0021125	0.235165	0.340656	-0.00302	0.18331	-0.020895	-0.0297275	-0.06178	-0.0110929	-0.0373086	-0.0800914	-1.12004	5.97027	0.0944	-1.34133	6.74334	0.18064
8	0.304582	-0.04218	-0.687772	0.516391	-0.0627629	-0.69496	0.288765	0.0005175	0.322833	0.393244	-0.000594286	0.273856	-0.019885	-0.0265375	-0.0399175	-0.00848857	-0.0344743	-0.0681786	-1.22465	6.41579	0.152018	-1.46839	7.34177	0.263511
9	0.304548	-0.0524225	-0.786933	0.593471	-0.0838914	-0.784323	0.307875	-0.003435	0.407477	0.439871	-0.000272857	0.356224	-0.022845	-0.0252675	-0.01856	-0.00855571	-0.0311171	-0.0536543	-1.30673	7.01275	0.15296	-1.55013	8.00277	0.295563
