Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	-0.0208988	0.0024275	-0.426131	-0.0399283	0.0117733	-0.452892	0.0177138	0.004195	-0.216934	-0.0158567	0.00902667	-0.217232	0.000435	0.0031275	0.00329625	0.000318333	0.00737667	0.00240833	0.0757413	0.445243	-0.0001175	0.05379	0.408048	-0.0104617
1	-0.0404488	-0.0058075	-0.379679	-0.0395117	0.004895	-0.38426	0.01379	0.00421375	-0.188938	-0.00925833	0.00941167	-0.18181	-0.00337	-0.0018825	-0.00620875	-0.00500333	0.00211667	-0.00929333	0.117465	1.32076	-0.0298563	0.0738583	1.2334	-0.0560067
2	-0.0427212	-0.0170713	-0.30054	-0.01692	-0.00400167	-0.300262	0.0113225	0.003245	-0.135619	0.001065	0.00983667	-0.131025	-0.0116738	-0.01294	-0.0282825	-0.0166633	-0.00903667	-0.0325317	0.076225	2.41191	-0.0864075	0.0167367	2.26528	-0.130997
3	-0.0347175	-0.0309088	-0.288259	0.00221	-0.0154367	-0.286135	0.00742	-0.00406	-0.105306	0.005595	0.00571667	-0.110245	-0.02245	-0.029295	-0.05967	-0.0323533	-0.0241633	-0.06214	-0.115494	3.32173	-0.143614	-0.162997	3.16628	-0.19202
4	-0.0359812	-0.0412212	-0.366495	-0.00455833	-0.02396	-0.322605	0.00102875	-0.0179775	-0.130756	0.00426667	-0.00193	-0.13205	-0.03226	-0.0446037	-0.0864925	-0.0471333	-0.0363783	-0.0849867	-0.391358	3.98368	-0.170623	-0.405128	3.86972	-0.200557
5	-0.0129488	-0.0355925	-0.374794	-0.0111283	-0.0204367	-0.320275	0.010425	-0.02907	-0.152841	0.0169517	-0.00677667	-0.152007	-0.0399438	-0.0530888	-0.100668	-0.0576217	-0.0420317	-0.095535	-0.610006	4.46238	-0.166517	-0.593633	4.38562	-0.159408
6	0.0478738	-0.01427	-0.275977	0.0182467	-0.00481333	-0.275648	0.0486437	-0.0296987	-0.123229	0.05704	-0.005545	-0.137337	-0.0451662	-0.0543688	-0.102901	-0.0623267	-0.04237	-0.0961333	-0.725194	4.81773	-0.140005	-0.687168	4.71977	-0.0895333
7	0.124226	0.00878875	-0.166304	0.0880767	0.0149533	-0.225158	0.102104	-0.0219425	-0.0459963	0.113998	9.83333e-05	-0.0922283	-0.0469012	-0.0515338	-0.094445	-0.06092	-0.0399367	-0.08881	-0.800196	5.02471	-0.101256	-0.725302	4.85724	-0.01038
8	0.186784	0.0209813	-0.141015	0.178783	0.0307017	-0.219552	0.146729	-0.0125163	0.0383288	0.169773	0.00749667	-0.05831	-0.0444637	-0.0486263	-0.077685	-0.0564533	-0.0343167	-0.06767	-0.871074	5.11423	-0.0519725	-0.736647	4.93261	0.071585
9	0.247765	0.0190988	-0.17397	0.276817	0.03731	-0.205783	0.181889	-0.00581	0.113533	0.220742	0.0113533	-0.0257317	-0.0400125	-0.0472037	-0.0582625	-0.0505967	-0.0302183	-0.0502967	-0.940359	5.20546	0.00743625	-0.72916	4.95169	0.148432
10	0.31985	0.00617125	-0.202824	0.375917	0.037015	-0.180595	0.215271	-0.0032825	0.175984	0.26939	0.0123583	-0.00583	-0.03602	-0.0464275	-0.0398963	-0.0470933	-0.0262833	-0.029045	-1.01076	5.40582	0.0698425	-0.737785	5.10751	0.226403
11	0.389091	-0.0134	-0.210887	0.448155	0.0309217	-0.161927	0.24745	-0.005055	0.218729	0.31226	0.010165	0.00410333	-0.0337937	-0.0457137	-0.02333	-0.0451467	-0.0236817	-0.0123233	-1.07276	5.78092	0.124604	-0.753008	5.39229	0.292463
12	0.441321	-0.0351338	-0.200254	0.492803	0.0207433	-0.1612	0.278242	-0.00991875	0.244177	0.352528	0.00688167	0.00545667	-0.034345	-0.0449462	-0.008175	-0.04566	-0.0216717	0.003925	-1.11196	6.34287	0.157319	-0.780075	5.86126	0.340305
13	0.48662	-0.0535762	-0.176605	0.520915	0.0116317	-0.163095	0.310805	-0.0153863	0.259831	0.392522	0.00417	0.00532833	-0.03823	-0.04356	0.0062875	-0.0484883	-0.0197617	0.0204467	-1.12582	7.05394	0.163604	-0.814115	6.49468	0.3621
14	0.533768	-0.0643825	-0.144817	0.547002	0.00772667	-0.150945	0.344963	-0.01978	0.270138	0.433573	0.00295167	0.00820833	-0.0449775	-0.0413962	0.0206488	-0.0529517	-0.0175633	0.0376783	-1.12018	7.84543	0.154183	-0.851985	7.24342	0.359193
15	0.585739	-0.06634	-0.109389	0.58018	0.00901167	-0.124662	0.380695	-0.0223988	0.277502	0.476428	0.003455	0.0143283	-0.0526925	-0.0382275	0.0352488	-0.05785	-0.0146717	0.0552683	-1.09979	8.6361	0.144308	-0.888877	8.04058	0.34164
16	0.643662	-0.0593975	-0.0704112	0.621907	0.0144283	-0.0862317	0.419951	-0.0217988	0.285566	0.521815	0.00576	0.0236167	-0.0592163	-0.0335413	0.0498212	-0.0619317	-0.0108483	0.0723833	-1.0675	9.35136	0.145667	-0.918275	8.80932	0.323547
17	0.702549	-0.04443	-0.02779	0.6704	0.023055	-0.037525	0.46234	-0.016475	0.297706	0.568743	0.00996	0.0357483	-0.0637387	-0.0273488	0.0636175	-0.06468	-0.006005	0.0888033	-1.02546	9.9349	0.163623	-0.933008	9.47804	0.317155
18	0.757199	-0.0243787	0.0165938	0.724222	0.0350467	0.02094	0.505271	-0.00677375	0.314503	0.615782	0.0157667	0.0495367	-0.0662912	-0.0200563	0.0761	-0.0660317	-0.000245	0.104757	-0.975735	10.3486	0.197906	-0.928793	9.99713	0.32921
19	0.799243	-0.00429	0.0614237	0.780428	0.049255	0.0797833	0.544106	0.00469375	0.332801	0.661287	0.0224467	0.06247	-0.0668825	-0.0121962	0.08737	-0.0657133	0.00628833	0.120105	-0.920546	10.5749	0.243491	-0.90455	10.3433	0.36042
20	0.823735	0.0106837	0.107249	0.830083	0.0623183	0.125953	0.573839	0.0143337	0.346616	0.701515	0.028855	0.0718067	-0.0654312	-0.004275	0.0980412	-0.0635617	0.0132783	0.13472	-0.859333	10.6207	0.292535	-0.860143	10.519	0.40554
21	0.834532	0.0173113	0.149888	0.86568	0.0711483	0.15294	0.59129	0.0199338	0.351496	0.732272	0.03391	0.0755117	-0.0620225	0.00331875	0.108844	-0.0596083	0.0203567	0.148795	-0.789262	10.514	0.336595	-0.796922	10.5468	0.454925
22	0.835555	0.0161787	0.181207	0.88646	0.0748533	0.166577	0.595046	0.0217425	0.346773	0.750973	0.0371983	0.07398	-0.05711	0.010455	0.12042	-0.054055	0.02732	0.162638	-0.708612	10.2941	0.368779	-0.719703	10.4592	0.498018
