Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2312.79	780.297	1352	2303.74	758.563	1057.33	2086.61	816.625	1244.67	2081.88	823.244	1180.25	2196.74	832.566	1033.41	2188.81	827.404	1384.03	2235.45	661.188	1424.69	2360.21	392.041	1387.4	2358.74	341.019	1383.48	2418.05	346.337	1358.41	2403.28	54.4958	1352.96	2376.88	32.1273	1295.75	2530.21	61.6657	1351.69	2490.24	37.1855	1398.15	2202.44	658.482	1000.58	2098.42	393.618	1073.3	2069.44	335.834	1078.58	2124.74	315.518	1111.83	2001.17	58.4168	1115.89	1969.81	56.0884	1166.25	2130.73	23.3212	1126.5	2079.8	17.2506	1070.78
0.007	2313.82	777.624	1351.88	2302.08	755.844	1056.87	2086.51	814.16	1246.54	2081.29	820.897	1182.54	2194.56	830.187	1034.66	2189.56	824.552	1384.93	2236.8	658.4	1425.17	2362.86	389.822	1386.92	2363.87	338.66	1383.4	2422.77	346.42	1358.43	2424.14	54.8719	1356.53	2398.09	31.044	1299	2550.18	68.6318	1353.58	2510.99	42.6304	1401.01	2199.31	657.115	1000.72	2090.67	394.166	1074.36	2061.02	336.774	1079.74	2116.04	315.603	1112.28	1990.33	59.7337	1116.26	1959.12	57.8477	1166.6	2119.45	23.3325	1126.24	2068.23	17.311	1070.86
0.013	2315	774.862	1351.87	2300.61	753.09	1056.58	2086.69	811.673	1248.4	2080.78	818.599	1184.82	2192.66	827.792	1036.25	2190.56	821.82	1385.88	2238.04	655.521	1425.4	2365.47	387.373	1386.45	2369.11	336.91	1383.29	2427.98	347.415	1357.25	2443.66	56.1005	1360	2418.33	29.7039	1303.17	2568.92	75.9165	1355.31	2531.67	48.5753	1403.72	2196.35	655.638	1000.92	2083.3	394.747	1075.11	2052.78	337.734	1080.5	2107.72	315.893	1112.35	1979.36	61.1599	1116.42	1948.4	59.7726	1166.82	2108.07	23.2825	1126.13	2056.67	17.1975	1070.92
0.02	2316.33	772.003	1351.88	2299.36	750.331	1057.41	2087.03	809.294	1250.17	2080.4	816.408	1187.25	2190.77	825.529	1037.76	2191.87	819.003	1386.83	2239.15	652.501	1425.42	2368.12	384.532	1386.28	2374.29	335.536	1383.49	2433.44	348.543	1355.66	2461.94	57.9913	1363.44	2436.89	29.3453	1307.12	2586.02	83.814	1356.75	2550.82	54.8079	1405.96	2193.25	654.161	1001.1	2076.05	395.575	1075.97	2045.1	338.818	1081.29	2099.83	316.022	1112.74	1968.53	62.7046	1116.41	1937.75	61.804	1166.96	2096.81	23.283	1125.8	2045.26	17.1607	1070.91
0.027	2317.78	769.172	1352.06	2297.83	747.389	1056.6	2087.61	807.016	1252.06	2080.15	814.306	1189.7	2189.03	823.381	1039.47	2193.38	816.332	1388.16	2241.44	648.569	1425.11	2370.51	381.84	1386.36	2379.78	334.648	1383.85	2438.53	349.276	1353.18	2478.84	60.4265	1366.44	2454.32	29.1653	1311.39	2601.58	91.0165	1357.45	2568.97	61.6788	1408.31	2190.3	652.814	1001.36	2069.15	396.236	1076.47	2037.76	339.773	1082.1	2092.24	316.007	1112.99	1957.86	64.3422	1116.34	1926.8	64.086	1166.92	2085.3	23.2647	1125.64	2033.8	17.2283	1070.87
0.033	2319.38	766.328	1352.34	2296.66	744.675	1056.6	2089.02	804.379	1253.94	2080.06	812.45	1192.06	2187.51	821.463	1040.98	2195.3	813.776	1389.25	2243.07	645.142	1425.04	2373.9	378.743	1387.36	2385.62	334.018	1384.45	2444.27	349.833	1352.82	2494.44	62.9795	1369.56	2469.98	29.7192	1315.04	2615.78	98.1413	1358.03	2585.35	67.6206	1409.39	2187.55	651.514	1001.61	2062.95	396.963	1077.16	2030.83	340.955	1082.71	2085.2	316.09	1113.48	1947.14	66.163	1116.19	1916.59	66.5273	1166.76	2074.19	23.3254	1125.43	2022.35	17.1403	1070.97
0.04	2321.18	763.485	1352.64	2295.53	742.11	1056.75	2090	802.242	1255.99	2080.19	810.53	1194.27	2186.3	819.494	1042.51	2197.38	811.433	1390.7	2244.98	641.65	1424.95	2375.45	376.066	1387.45	2391.34	333.711	1385.19	2449.08	350.055	1351.54	2508.1	65.8173	1371.96	2483.75	30.9681	1318.22	2627.41	104.408	1358.22	2599.51	73.7969	1410.82	2184.88	650.411	1001.9	2057.02	397.557	1077.99	2024.26	341.971	1083.4	2078.5	316.242	1113.7	1936.65	68.1423	1115.96	1906.31	69.1429	1166.63	2062.83	23.263	1125.33	2010.64	17.0339	1070.87
0.047	2323.17	760.665	1353.08	2294.67	739.685	1056.76	2091	800.18	1258.09	2080.44	808.638	1196.53	2185.21	817.636	1044.01	2199.77	809.145	1391.93	2247.02	638.52	1424.98	2378.23	373.934	1387.92	2396.74	333.468	1385.79	2454.4	351.062	1350.24	2519.71	68.3598	1373.68	2495.51	32.1007	1320.33	2638.14	109.23	1357.62	2611.6	78.3515	1411.33	2182.54	649.324	1002.3	2051.82	398.189	1078.89	2018.35	343.012	1084.19	2072.12	316.256	1113.96	1926.43	70.2706	1115.79	1896.12	72.0669	1166.44	2051.52	23.4151	1125.14	1999.42	17.2746	1070.83
0.053	2325.39	757.832	1353.63	2293.76	737.491	1056.46	2092.14	798.238	1260.17	2080.94	806.823	1198.63	2184.58	815.483	1045.52	2202.28	806.867	1393.21	2249.19	635.452	1425.23	2381.57	372.831	1388.57	2401.63	333.058	1386.28	2449.95	344.379	1348.77	2529.09	69.9159	1374.58	2505.47	32.2389	1321.96	2647.5	112.114	1356.04	2621.62	81.4633	1410.96	2180.3	648.492	1002.7	2046.89	398.891	1079.38	2012.55	344.12	1084.55	2066.29	316.233	1114.27	1916.23	72.796	1115.52	1886.29	75.1265	1166.25	2040.33	23.4848	1124.79	1988.05	17.4818	1070.85
0.06	2327.65	755.018	1354.15	2293.23	735.358	1056.65	2093.56	796.25	1262.23	2081.68	805.077	1200.78	2183.99	813.44	1046.78	2204.93	804.624	1394.38	2251.49	632.743	1425.59	2385.67	372.06	1389.7	2406.01	332.253	1386.83	2460.94	350.653	1348.86	2536.72	70.3636	1374.17	2512.79	32.0102	1322.68	2654.21	114.094	1354.6	2628.89	82.9692	1410.32	2178.49	647.49	1003.39	2042.29	399.331	1080.01	2007.39	345.272	1085.02	2060.92	316.332	1114.26	1906.28	75.4753	1115.26	1876.53	78.6607	1166.07	2029.09	23.4426	1124.59	1976.61	17.7298	1070.94
