Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-78.1714	858.673	-30.2404	-83.6647	861.458	-302.969	-292.203	881.069	-122.776	-292.63	884.076	-199.456	-162.864	928.467	-332.252	-178.052	930.578	13.8131	-155.199	761.525	25.9147	-19.4268	449.307	-23.0181	-8.51849	389.641	-23.2287	48.6782	398.684	-72.4989	86.6289	69.8678	-55.8662	48.7789	52.5185	-117.839	237.884	88.0544	-96.4146	198.555	64.1166	-39.9025	-175.173	775.947	-354.426	-254.576	443.297	-270.559	-271.402	378.77	-264.301	-219.676	361.567	-221.469	-350.953	67.8302	-208.646	-395.249	58.2963	-152.335	-199.274	36.8617	-190.286	-256.544	30.2102	-246.341
0.007	-71.6615	857.56	-30.2169	-77.1832	860.5	-303.038	-285.217	879.7	-122.449	-285.763	883.149	-199.81	-156.371	927.498	-332.179	-171.581	929.202	14.0603	-148.782	760.313	25.9785	-14.7254	447.863	-23.6112	-2.67331	388.414	-23.94	54.7519	398.569	-72.9279	99.3866	70.7321	-56.659	62.252	52.701	-118.852	250.622	91.6943	-96.3257	211.495	66.6619	-39.9635	-169.065	775.325	-354.757	-250.824	443.407	-270.748	-268.264	379.036	-264.565	-216.112	361.084	-222.018	-350.595	68.8853	-209.148	-395.205	59.6613	-152.957	-199.367	36.836	-190.408	-256.203	30.0365	-246.663
0.013	-64.9412	856.428	-30.2482	-70.4186	859.63	-302.939	-278.957	878.826	-122.115	-278.96	882.174	-199.214	-150.05	926.556	-332.101	-164.942	927.924	14.2729	-142.355	759.054	25.9075	-9.63721	446.472	-23.7812	3.35567	387.167	-24.7422	61.058	398.4	-73.5066	111.697	71.389	-57.3391	74.7324	52.8875	-119.835	262.524	94.6216	-96.3248	223.472	68.9536	-40.3262	-162.727	774.787	-354.969	-246.986	443.533	-270.983	-264.964	379.333	-264.805	-212.941	360.834	-222.387	-350.292	69.7785	-209.669	-395.028	61.0584	-153.536	-199.397	36.8015	-190.489	-256.184	29.9628	-246.891
0.02	-58.363	855.303	-30.1943	-63.9164	858.854	-302.831	-271.972	877.74	-121.694	-272.458	881.369	-199.215	-143.526	925.685	-331.948	-158.152	926.634	14.5982	-135.666	757.901	26.044	-4.42747	445.153	-24.3496	9.39097	386.127	-25.5301	67.6511	398.456	-74.3009	122.961	72.0777	-58.2389	86.3978	52.9352	-120.721	273.552	97.3191	-96.5273	234.559	71.0012	-40.6924	-156.786	774.442	-355.489	-243.07	443.861	-271.247	-261.62	379.735	-265.187	-209.579	360.667	-222.888	-349.912	70.7411	-210.254	-394.737	62.5635	-154.128	-199.44	36.7595	-190.61	-256.142	29.8887	-247.094
0.027	-51.6008	854.235	-30.1751	-57.0295	858.237	-302.733	-265.691	876.967	-121.46	-265.444	880	-198.699	-137.119	924.883	-331.727	-151.563	925.524	15.062	-128.933	756.749	26.0053	1.17378	443.902	-24.9192	15.5877	385.103	-26.2154	73.752	398.176	-75.0045	133.041	72.4476	-58.6206	97.0575	52.8981	-121.532	283.612	99.3242	-96.8334	244.915	72.5892	-41.1014	-150.315	774.086	-355.492	-239.012	444.188	-271.608	-258.174	380.215	-265.62	-206.309	360.457	-223.461	-349.475	71.9204	-210.857	-394.52	64.2815	-154.806	-199.475	36.657	-190.66	-256.439	29.8594	-247.301
0.033	-44.8416	853.196	-30.1411	-50.2743	857.69	-302.583	-258.734	876.039	-121.099	-259.127	879.55	-198.475	-130.485	924.17	-331.425	-144.699	924.433	15.1904	-122.004	755.543	26.1528	6.79906	442.791	-25.3833	21.925	384.168	-26.7162	79.9244	397.736	-75.6674	142.547	72.6387	-59.5532	106.663	52.6825	-122.195	292.861	101.009	-97.1863	254.24	73.6607	-41.652	-143.895	773.833	-355.527	-234.794	444.569	-272.04	-254.689	380.711	-266.141	-202.866	360.28	-224.178	-349.034	73.1855	-211.463	-394.319	66.1725	-155.62	-199.5	36.6246	-190.793	-256.389	29.7796	-247.61
0.04	-38.0358	852.316	-30.0665	-43.3325	857.234	-302.429	-252.135	875.199	-120.734	-252.134	879.19	-197.983	-123.92	923.557	-331.25	-138.143	923.446	15.5763	-115.1	754.674	26.486	12.7479	441.624	-25.8228	28.3539	383.155	-27.2627	86.0786	397.304	-76.4264	151.169	72.4678	-60.161	115.325	52.2891	-122.881	301.173	101.659	-97.8431	262.757	74.1887	-42.3748	-137.408	773.701	-355.516	-230.388	444.965	-272.451	-250.979	381.256	-266.646	-199.251	360.175	-224.871	-348.509	74.5495	-212.177	-393.931	68.1596	-156.398	-199.502	36.6044	-190.927	-256.295	29.6982	-247.938
0.047	-31.1697	851.482	-29.9244	-36.4591	856.741	-302.252	-245.221	874.428	-120.492	-244.802	878.075	-196.886	-117.119	923.181	-330.705	-131.161	922.586	15.7954	-107.994	753.719	26.8042	18.9224	440.618	-26.2312	34.838	382.328	-27.7541	92.3303	396.623	-77.1224	158.481	72.1309	-60.511	122.976	51.6951	-123.547	308.625	101.868	-98.698	270.529	74.1566	-43.0473	-130.849	773.561	-355.47	-225.874	445.434	-272.82	-246.983	381.838	-267.168	-195.476	360.073	-225.534	-347.937	76.0067	-212.944	-393.503	70.3248	-157.234	-199.497	36.5802	-191.083	-256.206	29.6387	-248.237
0.053	-24.2238	850.778	-29.7976	-29.5898	856.427	-302.114	-238.152	873.739	-119.984	-238.133	877.564	-196.805	-110.36	922.91	-330.326	-124.282	921.815	16.1333	-100.993	752.901	26.9828	25.2811	439.673	-26.5828	41.3194	381.421	-28.1421	98.6	395.845	-77.6245	165.094	71.3529	-61.1463	129.61	50.8908	-124.119	315.174	101.426	-99.6447	277.5	73.4745	-43.6643	-124.249	773.534	-355.512	-221.103	445.841	-273.337	-242.888	382.486	-267.795	-191.562	360.009	-226.326	-347.344	77.5499	-213.629	-392.985	72.5623	-158.029	-199.476	36.5528	-191.24	-256.165	29.5934	-248.525
0.06	-17.2433	850.213	-29.6985	-22.4972	856.078	-301.867	-231.139	873.091	-119.025	-231.07	876.974	-196.577	-103.518	922.691	-329.869	-117.457	921.185	16.428	-93.8164	752.215	27.0723	31.7391	438.872	-26.7897	47.7302	380.731	-28.5227	104.459	394.762	-77.9718	170.968	70.3786	-61.9006	135.276	49.8715	-124.735	320.918	100.239	-101.063	283.488	72.1678	-44.577	-117.61	773.524	-355.456	-216.072	446.272	-273.758	-238.613	383.081	-268.393	-187.505	359.904	-226.919	-346.626	79.1624	-214.505	-392.59	75.0417	-159.169	-199.452	36.543	-191.425	-256.115	29.5341	-248.835
